year,team,win_total_line,actual_wins,target_pyth_wins,beat_margin,qb_tier,new_coach,coach_tenure,coach_tenure_bucket,schedule_delta_pyth,prior_pyth_wins,prior_actual_wins,prior_beat_margin,trailing_beat_margin_2yr,prior_turnover_diff_per_game,prior_fumble_recovery_rate,prior_agl
2020,JAX,4.5,1,3.92,-3.5,4,0,4,Yr4+,0.556,5.44,6,-2.0,-3.0,-0.0625,0.4286,100.2
2020,KC,11.5,14,10.45,2.5,1,0,7,Yr4+,-0.14337499999999892,11.39,12,1.5,2.5,0.5,0.4118,75.8
2020,LAC,8.0,7,7.02,-1.0,,0,4,Yr4+,0.19724999999999948,7.78,5,-5.0,-1.25,-1.0625,0.2143,103.0
2020,LAR,8.5,10,10.12,1.5,3,0,4,Yr4+,0.040625000000000355,8.75,9,-1.5,0.75,0.0,0.6111,60.6
2020,LV,7.5,8,7.09,0.5,3,0,3,Yr2-3,0.5458749999999988,5.34,7,1.0,-1.25,-0.125,0.4,93.4
2020,MIA,6.0,10,9.67,4.0,,0,2,Yr2-3,-0.1928750000000008,3.89,5,0.5,0.5,-0.625,0.2727,100.0
2020,MIN,9.0,7,7.06,-2.0,3,0,7,Yr4+,0.457749999999999,10.69,10,1.0,-0.5,0.6875,0.5385,25.6
2020,NE,9.0,7,7.25,-2.0,3,0,7,Yr4+,0.9022500000000004,13.03,12,0.5,0.25,1.3125,0.6471,85.0
2020,NO,10.5,12,11.2,1.5,1,0,7,Yr4+,0.41312499999999996,10.69,13,2.5,3.0,0.9375,0.8333,58.3
2020,NYG,6.5,6,5.76,-0.5,3,1,1,Yr1,0.6514999999999995,5.44,4,-2.0,-2.0,-1.0625,0.2727,72.6
2020,NYJ,6.5,2,2.93,-4.5,3,0,2,Yr2-3,0.7497500000000006,5.59,7,-0.5,-1.25,-0.25,0.5,160.1
2020,PHI,9.5,4,5.92,-5.5,2,0,5,Yr4+,0.6994999999999996,8.79,9,-1.0,-1.25,-0.1875,0.375,84.4
2020,PIT,9.5,12,10.63,2.5,2,0,7,Yr4+,-0.12899999999999956,7.55,8,-1.5,-1.5,0.5,0.6207,60.5
2020,SEA,9.5,12,9.98,2.5,1,0,7,Yr4+,-0.3019999999999996,8.17,11,2.0,2.25,0.75,0.5333,56.5
2020,SF,10.5,6,7.65,-4.5,,0,4,Yr4+,0.5546249999999997,11.79,13,5.0,0.25,0.25,0.6,95.8
2020,TB,9.5,11,10.95,1.5,2,0,2,Yr2-3,0.33199999999999896,8.19,7,0.5,-0.5,-0.8125,0.5926,39.5
2020,TEN,8.5,11,9.06,2.5,3,0,3,Yr2-3,0.36549999999999994,9.81,9,1.0,1.0,0.375,0.5,43.6
2020,WAS,5.0,7,8.17,2.0,,1,1,Yr1,0.16212499999999963,3.8,3,-3.0,-1.5,0.0625,0.5294,131.0
2021,ARI,8.5,11,10.52,2.5,2,0,3,Yr2-3,0.9868749999999995,9.04,8,0.5,0.25,0.0,0.5556,95.7
2021,ATL,7.5,7,4.89,-0.5,2,1,1,Yr1,0.13587499999999864,7.58,4,-3.5,-2.5,0.1875,0.5625,48.0
2021,BAL,10.5,8,8.37,-2.5,2,0,8,Yr4+,1.2771250000000007,11.79,11,-0.5,2.5,0.25,0.6316,59.6
2021,BUF,11.5,11,13.12,-0.5,2,0,5,Yr4+,0.5772500000000012,10.64,13,4.0,3.5,0.25,0.5,63.1
2021,CAR,7.5,5,5.74,-2.5,4,0,2,Yr2-3,-0.031000000000000583,6.7,5,-0.5,-1.75,0.0625,0.75,73.1
2021,CHI,7.5,6,5.88,-1.5,,0,4,Yr4+,0.8108750000000002,8.05,8,0.0,-0.5,-0.25,0.5714,87.1
2021,CIN,6.5,10,10.49,3.5,2,0,3,Yr2-3,0.6622500000000002,5.19,4,-1.5,-2.75,-0.4375,0.3158,88.8
2021,CLE,10.5,8,7.89,-2.5,3,0,2,Yr2-3,0.8701250000000007,7.75,11,2.5,-0.25,0.3125,0.5556,89.7
2021,DAL,9.0,12,12.19,3.0,2,0,2,Yr2-3,0.6533749999999996,6.32,6,-4.0,-2.5,-0.1875,0.5,118.5
2021,DEN,9.0,7,8.9,-2.0,4,0,3,Yr2-3,-0.07112499999999855,5.08,5,-2.5,-1.25,-1.0,0.4,108.4
2021,DET,4.5,3,5.06,-1.5,3,1,1,Yr1,0.5072500000000009,5.11,5,-2.0,-2.75,-0.5625,0.3846,83.7
2021,GB,10.5,13,10.41,2.5,1,0,3,Yr2-3,1.16575,10.91,13,4.5,4.25,0.4375,0.5385,73.1
2021,HOU,4.0,4,4.14,0.0,,1,1,Yr1,0.8316250000000007,6.24,4,-3.5,-1.0,-0.5625,0.3529,58.2
2021,IND,9.0,9,10.59,0.0,3,0,4,Yr4+,1.3446249999999997,10.04,11,1.5,0.5,0.625,0.7143,72.9
2021,JAX,6.5,3,3.36,-3.5,,1,1,Yr1,0.04574999999999996,3.92,1,-3.5,-2.75,-0.5,0.3571,63.4
2021,KC,12.5,12,11.19,-0.5,1,0,8,Yr4+,1.1448749999999999,10.45,14,2.5,2.0,0.375,0.4,65.2
2021,LAC,9.5,9,8.82,-0.5,2,1,1,Yr1,1.0966250000000004,7.02,7,-1.0,-3.0,0.1875,0.5385,109.1
2021,LAR,10.5,12,10.59,1.5,2,0,5,Yr4+,0.5845000000000002,10.12,10,1.5,0.0,-0.1875,0.4211,45.6
2021,LV,7.5,10,6.91,2.5,3,0,4,Yr4+,0.974874999999999,7.09,8,0.5,0.75,-0.6875,0.2381,86.9
2021,MIA,9.0,9,7.6,0.0,4,0,3,Yr2-3,1.1472500000000005,9.67,10,4.0,2.25,0.5625,0.6111,65.7
2021,MIN,9.0,8,8.48,-1.0,3,0,8,Yr4+,0.4548749999999995,7.06,7,-2.0,-0.5,-0.0625,0.4118,83.5
2021,NE,9.5,10,12.43,0.5,,0,8,Yr4+,0.4632500000000004,7.25,7,-2.0,-0.75,0.1875,0.4444,134.8
2021,NO,9.0,9,9.33,0.0,,0,8,Yr4+,1.053,11.2,12,1.5,2.0,0.5625,0.4706,49.2
2021,NYG,7.0,4,4.14,-3.0,3,0,2,Yr2-3,0.5458750000000006,5.76,6,-0.5,-1.25,0.0,0.5,104.4
2021,NYJ,6.0,4,4.08,-2.0,,1,1,Yr1,-0.06174999999999997,2.93,2,-4.5,-2.5,0.0,0.6429,123.9
2021,PHI,6.5,9,9.92,2.5,4,1,1,Yr1,0.07750000000000057,5.92,4,-5.5,-3.25,-0.625,0.55,128.1
2021,PIT,8.5,9,7.02,0.5,3,0,8,Yr4+,1.6088750000000003,10.63,12,2.5,0.5,0.5625,0.5625,55.2
2021,SEA,9.5,7,9.27,-2.5,1,0,8,Yr4+,0.7514999999999992,9.98,12,2.5,2.25,0.25,0.6154,88.3
2021,SF,10.5,10,10.06,-0.5,3,0,5,Yr4+,-0.4476250000000004,7.65,6,-4.5,0.25,-0.6875,0.3636,166.6
2021,TB,12.0,13,12.0,1.0,1,0,3,Yr2-3,0.3773749999999998,10.95,11,1.5,1.0,0.5,0.6667,30.6
2021,TEN,9.5,12,10.18,2.5,2,0,4,Yr4+,0.8078750000000001,9.06,11,2.5,1.75,0.6875,0.6154,57.5
2021,WAS,8.5,7,5.97,-1.5,,0,2,Yr2-3,1.3845,8.17,7,2.0,-0.5,-0.25,0.3889,97.0
