year,team,win_total_line,actual_wins,beat_margin,new_coach,sos_this_year_line,prior_year_under,prior_beat_margin,prior_actual_wins,prior_avg_point_diff,prior_pyth_wins,prior_luck,sos_prior_year_wins,adp_top100_count,adp_linear_weight
2021,GB,10.5,13,2.5,0,8.647,0,4.5,13,8.75,10.91,2.09,8.647,5,278
2021,HOU,4.0,4,0.0,1,8.971,1,-3.5,4,-5.0,6.24,-2.24,8.059,1,3
2021,IND,9.0,9,0.0,0,8.529,0,1.5,11,5.562,10.04,0.96,7.647,1,82
2021,JAX,6.5,3,-3.5,1,8.412,1,-3.5,1,-11.625,3.92,-2.92,7.824,2,106
2021,KC,12.5,12,-0.5,0,8.853,0,2.5,14,6.938,10.45,3.55,8.118,4,346
2021,LAC,9.5,9,-0.5,1,8.676,1,-1.0,7,-2.625,7.02,-0.02,7.824,3,225
2021,LAR,10.5,12,1.5,0,8.647,0,1.5,10,4.75,10.12,-0.12,8.235,4,203
2021,LV,7.5,10,2.5,0,9.088,0,0.5,8,-2.75,7.09,0.91,8.353,3,138
2021,MIA,9.0,9,0.0,0,8.471,0,4.0,10,4.125,9.67,0.33,7.529,2,79
2021,MIN,9.0,8,-1.0,0,8.588,1,-2.0,7,-2.812,7.06,-0.06,8.471,4,230
2021,NE,9.5,10,0.5,0,8.647,1,-2.0,7,-1.688,7.25,-0.25,7.824,1,33
2021,NO,9.0,9,0.0,0,8.853,0,1.5,12,9.062,11.2,0.8,7.706,3,132
2021,NYG,7.0,4,-3.0,0,8.794,1,-0.5,6,-4.812,5.76,0.24,7.529,2,82
2021,NYJ,6.0,4,-2.0,1,8.647,1,-4.5,2,-13.375,2.93,-0.93,7.765,1,7
2021,PHI,6.5,9,2.5,1,8.5,1,-5.5,4,-5.25,5.92,-1.92,6.882,3,117
2021,PIT,8.5,9,0.5,0,9.147,0,2.5,12,6.5,10.63,1.37,9.118,4,157
2021,SEA,9.5,7,-2.5,0,8.559,0,2.5,12,5.5,9.98,2.02,8.176,4,252
2021,SF,10.5,10,-0.5,0,8.118,1,-4.5,6,-0.875,7.65,-1.65,7.765,5,157
2021,TB,12.0,13,1.0,0,8.353,0,1.5,11,8.562,10.95,0.05,7.412,5,189
2021,TEN,9.5,12,2.5,0,8.471,0,2.5,11,3.25,9.06,1.94,8.118,4,270
2021,WAS,8.5,7,-1.5,0,8.882,0,2.0,7,0.375,8.17,-1.17,8.0,4,182
2022,ARI,8.5,4,-4.5,0,8.853,0,2.5,11,4.882,10.52,0.48,9.235,4,162
2022,ATL,4.5,7,2.5,0,8.618,1,-0.5,7,-8.588,4.89,2.11,8.882,1,55
2022,BAL,10.5,10,-0.5,0,8.206,1,-2.5,8,-0.294,8.37,-0.37,8.0,3,201
2022,BUF,12.0,13,1.0,0,8.406,1,-0.5,11,11.412,13.12,-2.12,8.562,4,201
2022,CAR,6.5,7,0.5,0,8.382,1,-2.5,5,-5.882,5.74,-0.74,8.647,2,126
2022,CHI,5.5,3,-2.5,1,8.382,1,-1.5,6,-5.647,5.88,0.12,7.941,3,98
2022,CIN,9.5,12,2.5,0,8.469,0,3.5,10,4.941,10.49,-0.49,8.938,4,306
2022,CLE,8.0,7,-1.0,0,8.441,1,-2.5,8,-1.294,7.89,0.11,8.353,3,84
2022,DAL,10.0,12,2.0,0,8.382,0,3.0,12,10.118,12.19,-0.19,7.824,5,245
2022,DEN,10.0,5,-5.0,1,8.588,1,-2.0,7,0.765,8.9,-1.9,8.647,4,209
2022,DET,6.5,9,2.5,0,8.235,1,-1.5,3,-8.353,5.06,-2.06,7.941,3,107
2022,GB,11.0,8,-3.0,0,8.412,0,2.5,13,4.647,10.41,2.59,8.059,3,178
2022,HOU,4.5,3,-1.5,1,8.676,0.5,0.0,4,-10.118,4.14,-0.14,8.294,2,33
