year,team,win_total_line,actual_wins,beat_margin,new_coach,sos_this_year_line,prior_year_under,prior_beat_margin,prior_actual_wins,prior_avg_point_diff,prior_pyth_wins,prior_luck,sos_prior_year_wins,adp_top100_count,adp_linear_weight,target_pyth_wins,target_avg_point_diff,target_luck
2017,BAL,8.5,9,0.5,0,7.969,1,-0.5,8,1.375,8.63,-0.63,7.312,2,31,10.43,5.75,-1.4299999999999997
2017,BUF,6.5,9,2.5,1,8.219,1,-1.0,7,1.312,8.51,-1.51,8.938,2,121,6.38,-3.562,2.62
2017,CAR,9.0,11,2.0,0,7.938,1,-4.5,6,-2.062,7.19,-1.19,8.062,4,213,8.99,2.25,2.01
2017,CHI,5.5,5,-0.5,0,8.344,1,-4.5,3,-7.5,4.8,-1.8,7.625,1,80,6.21,-3.5,-1.21
2017,CIN,8.5,7,-1.5,0,7.844,1,-3.5,6,0.625,8.3,-2.3,7.188,4,195,6.27,-3.688,0.7300000000000004
2017,CLE,4.5,0,-4.5,0,8.125,1,-3.5,1,-11.75,3.5,-2.5,7.438,1,64,3.35,-11.0,-3.35
2017,DAL,9.5,9,-0.5,0,8.375,0,4.5,13,7.188,10.89,2.11,8.375,4,213,8.61,1.375,0.39000000000000057
2017,DEN,8.0,5,-3.0,1,8.281,1,-0.5,9,2.25,9.08,-0.08,9.188,3,98,5.45,-5.812,-0.4500000000000002
2017,DET,7.5,9,1.5,0,8.344,0,2.0,9,-0.75,7.68,1.32,7.438,3,105,8.82,2.125,0.17999999999999972
2017,GB,10.5,7,-3.5,0,8.125,1,-0.5,10,2.75,9.01,0.99,7.625,4,282,6.3,-4.0,0.7000000000000002
2017,HOU,8.5,4,-4.5,0,8.156,0,0.5,9,-3.062,6.48,2.52,7.188,2,120,5.66,-6.125,-1.6600000000000001
2017,IND,8.0,4,-4.0,0,7.781,1,-1.0,8,1.188,8.45,-0.45,6.688,3,137,4.25,-8.812,-0.25
2017,JAX,6.5,10,3.5,1,7.75,1,-4.5,3,-5.125,5.88,-2.88,6.938,2,105,11.85,9.312,-1.8499999999999996
2017,KC,9.0,10,1.0,0,8.312,0,2.5,12,4.875,10.07,1.93,9.188,4,167,9.88,4.75,0.11999999999999922
2017,LAC,7.5,9,1.5,1,8.0,1,-2.0,5,-0.812,7.7,-2.7,9.062,3,207,10.44,5.188,-1.4399999999999995
2017,LAR,6.0,11,5.0,1,8.188,1,-3.5,4,-10.625,3.32,0.68,7.562,2,100,11.33,9.312,-0.33000000000000007
2017,LV,9.5,6,-3.5,0,8.156,0,3.5,12,1.938,8.73,3.27,9.0,4,250,6.01,-4.5,-0.009999999999999787
2017,MIA,7.0,6,-1.0,0,8.219,0,3.0,10,-1.062,7.57,2.43,8.75,4,129,4.98,-7.0,1.0199999999999996
2017,MIN,8.5,13,4.5,0,7.969,1,-0.5,8,1.25,8.6,-0.6,7.188,4,90,11.65,8.125,1.3499999999999996
2017,NE,12.5,13,0.5,0,7.625,0,3.5,14,11.938,12.69,1.31,8.438,5,282,11.8,10.125,1.1999999999999993
2017,NO,8.0,11,3.0,0,8.062,0.5,0.0,7,0.938,8.31,-1.31,8.125,5,239,10.88,7.625,0.11999999999999922
2017,NYG,9.0,3,-6.0,0,8.188,0,2.5,11,1.625,8.83,2.17,8.438,3,151,4.06,-8.875,-1.0599999999999996
2017,NYJ,3.5,5,1.5,0,8.25,1,-3.0,5,-8.375,4.49,0.51,8.562,1,26,5.71,-5.25,-0.71
2017,PHI,8.5,13,4.5,0,8.156,0,0.5,7,2.25,8.97,-1.97,8.375,3,103,11.81,10.125,1.1899999999999995
2017,PIT,10.5,13,2.5,0,8.031,0,0.5,11,4.5,9.85,1.15,7.188,4,299,10.53,6.125,2.4700000000000006
2017,SEA,10.5,9,-1.5,0,7.844,1,-0.5,10,3.875,9.79,0.21,7.188,3,188,8.92,2.125,0.08000000000000007
2017,SF,5.0,6,1.0,1,8.188,1,-3.5,2,-10.688,4.17,-2.17,7.438,1,51,6.63,-3.25,-0.6299999999999999
2017,TB,8.5,5,-3.5,0,8.25,0,2.0,9,-0.938,7.61,1.39,8.25,3,192,6.77,-2.938,-1.7699999999999996
2017,TEN,9.0,9,0.0,0,7.781,0,3.0,9,0.188,8.07,0.93,6.938,4,171,7.4,-1.375,1.5999999999999996
2017,WAS,7.5,7,-0.5,0,8.406,0,0.5,8,0.812,8.32,-0.32,8.625,5,199,6.81,-2.875,0.1900000000000004
2018,ARI,6.0,3,-3.0,1,8.5,1,-0.5,8,-4.125,6.12,1.88,8.312,2,150,2.9,-12.5,0.10000000000000009
2018,ATL,9.5,7,-2.5,0,8.125,0,0.5,10,2.375,9.07,0.93,8.125,3,216,7.8,-0.562,-0.7999999999999998
2018,BAL,8.5,10,1.5,0,7.938,0,0.5,9,5.75,10.43,-1.43,7.812,2,71,10.76,6.375,-0.7599999999999998
2018,BUF,5.5,6,0.5,0,8.312,0,2.5,9,-3.562,6.38,2.62,7.938,1,68,5.03,-6.562,0.9699999999999998
2018,CAR,8.5,7,-1.5,0,8.188,0,2.0,11,2.25,8.99,2.01,8.188,3,192,7.85,-0.375,-0.8499999999999996
2018,CHI,7.5,12,4.5,1,8.094,1,-0.5,5,-3.5,6.21,-1.21,8.312,5,137,11.51,8.625,0.4900000000000002
2018,CIN,7.0,6,-1.0,0,8.156,1,-1.5,7,-3.688,6.27,0.73,7.562,2,148,6.03,-5.438,-0.03000000000000025
2018,CLE,6.0,7,1.0,0,8.312,1,-4.5,0,-11.0,3.35,-3.35,8.375,2,87,7.17,-2.062,-0.16999999999999993
2018,DAL,8.5,10,1.5,0,8.188,1,-0.5,9,1.375,8.61,0.39,8.0,2,126,8.43,0.938,1.5700000000000003
2018,DEN,7.0,6,-1.0,0,8.094,1,-3.0,5,-5.812,5.45,-0.45,7.625,4,99,7.44,-1.25,-1.4400000000000004
2018,DET,7.5,6,-1.5,1,8.312,0,1.5,9,2.125,8.82,0.18,8.562,4,135,7.01,-2.25,-1.0099999999999998
2018,GB,10.0,6,-4.0,0,7.969,1,-3.5,7,-4.0,6.3,0.7,8.625,4,213,7.41,-1.5,-1.4100000000000001
2018,HOU,8.5,11,2.5,0,7.75,1,-4.5,4,-6.125,5.66,-1.66,7.25,4,233,10.22,5.375,0.7799999999999994
2018,IND,7.5,10,2.5,1,7.969,1,-4.0,4,-8.812,4.25,-0.25,7.75,3,140,10.13,5.562,-0.13000000000000078
2018,JAX,9.0,5,-4.0,0,8.062,0,3.5,10,9.312,11.85,-1.85,7.625,2,112,5.66,-4.438,-0.6600000000000001
2018,KC,8.5,12,3.5,0,8.25,0,1.0,10,4.75,9.88,0.12,7.875,5,266,10.68,9.0,1.3200000000000003
2018,LAC,9.5,12,2.5,0,7.719,0,1.5,9,5.188,10.44,-1.44,7.688,3,225,10.42,6.188,1.58
2018,LAR,10.0,13,3.0,0,8.219,0,5.0,11,9.312,11.33,-0.33,8.375,3,182,10.87,8.938,2.130000000000001
2018,LV,7.5,4,-3.5,1,8.0,1,-3.5,6,-4.5,6.01,-0.01,7.562,3,117,3.91,-11.062,0.08999999999999986
2018,MIA,6.5,7,0.5,0,7.969,1,-1.0,6,-7.0,4.98,1.02,8.0,1,55,5.22,-7.125,1.7800000000000002
2018,MIN,10.0,8,-2.0,0,8.188,0,4.5,13,8.125,11.65,1.35,8.312,5,291,8.51,1.188,-0.5099999999999998
2018,NE,11.0,11,0.0,0,7.688,0,0.5,13,10.125,11.8,1.2,7.75,6,247,10.68,6.938,0.3200000000000003
2018,NO,9.5,13,3.5,0,8.375,0,3.0,11,7.625,10.88,0.12,8.562,4,295,11.19,9.438,1.8100000000000005
2018,NYG,7.0,5,-2.0,1,8.438,1,-6.0,3,-8.875,4.06,-1.06,8.312,4,221,6.96,-2.688,-1.96
2018,NYJ,6.0,4,-2.0,0,7.938,0,1.5,5,-5.25,5.71,-0.71,7.625,0,0,5.43,-6.75,-1.4299999999999997
2018,PHI,10.5,9,-1.5,0,8.25,0,4.5,13,10.125,11.81,1.19,7.875,4,171,8.5,1.188,0.5
2018,PIT,10.5,9,-1.5,0,8.094,0,2.5,13,6.125,10.53,2.47,7.625,4,292,9.62,4.25,-0.6199999999999992
2018,SEA,7.5,10,2.5,0,8.344,1,-1.5,9,2.125,8.92,0.08,8.375,3,171,9.95,5.062,0.05000000000000071
2018,SF,8.5,4,-4.5,0,8.0,0,1.0,6,-3.25,6.63,-0.63,8.0,2,86,5.78,-5.812,-1.7800000000000002
