year,team,n_games,sos_this_year_line,n_opponents_with_line,sos_prior_year_wins,n_opponents_with_prior_wins
2022,ARI,17,8.853,17,9.235,17
2022,ATL,17,8.618,17,8.882,17
2022,BAL,17,8.206,17,8.0,17
2022,BUF,16,8.406,16,8.562,16
2022,CAR,17,8.382,17,8.647,17
2022,CHI,17,8.382,17,7.941,17
2022,CIN,16,8.469,16,8.938,16
2022,CLE,17,8.441,17,8.353,17
2022,DAL,17,8.382,17,7.824,17
2022,DEN,17,8.588,17,8.647,17
2022,DET,17,8.235,17,7.941,17
2022,GB,17,8.412,17,8.059,17
2022,HOU,17,8.676,17,8.294,17
2022,IND,17,8.206,17,7.941,17
2022,JAX,17,8.441,17,7.941,17
2022,KC,17,9.118,17,9.059,17
2022,LAC,17,8.471,17,8.824,17
2022,LAR,17,8.912,17,9.647,17
2022,LV,17,8.912,17,8.941,17
2022,MIA,17,8.529,17,8.118,17
2022,MIN,17,8.412,17,8.176,17
2022,NE,17,8.706,17,8.412,17
2022,NO,17,8.353,17,8.941,17
2022,NYG,17,8.235,17,7.882,17
2022,NYJ,17,8.765,17,8.353,17
2022,PHI,17,8.029,17,7.824,17
2022,PIT,17,8.853,17,8.706,17
2022,SEA,17,8.676,17,8.765,17
2022,SF,17,8.324,17,9.059,17
2022,TB,17,8.324,17,9.059,17
2022,TEN,17,8.735,17,8.0,17
2022,WAS,17,8.176,17,7.824,17
2023,ARI,17,8.824,17,8.706,17
2023,ATL,17,7.618,17,7.0,17
2023,BAL,17,8.676,17,8.118,17
2023,BUF,17,8.882,17,9.118,17
2023,CAR,17,8.206,17,7.647,17
2023,CHI,17,8.147,17,8.412,17
2023,CIN,17,8.676,17,8.588,17
2023,CLE,17,8.618,17,7.706,17
2023,DAL,17,8.559,17,9.176,17
2023,DEN,17,8.647,17,8.706,17
2023,DET,17,8.441,17,8.412,17
2023,GB,17,8.324,17,8.059,17
2023,HOU,17,8.235,17,7.235,17
2023,IND,17,8.118,17,7.294,17
2023,JAX,17,8.5,17,7.941,17
