player_id,player_display_name,position,recent_team,games,targets,receptions,receiving_yards,receiving_tds,receiving_air_yards,target_share
00-0036336,Anthony McFarland,RB,PIT,2,1,1,11,0,0,0.001531393568147
00-0036345,K.J. Osborn,WR,MIN,17,82,50,655,7,861,0.141868512110727
00-0036357,Henry Ruggs III,WR,LV,7,36,24,469,2,608,0.0597014925373134
00-0036358,CeeDee Lamb,WR,DAL,16,120,79,1102,6,1233,0.188383045525903
00-0036360,Clyde Edwards-Helaire,RB,KC,10,23,19,129,2,-53,0.0361067503924647
00-0036365,Bryan Edwards,WR,LV,16,59,34,571,3,827,0.0978441127694859
00-0036370,Joshua Kelley,RB,LAC,8,6,5,38,0,13,0.0091047040971168
00-0036382,K.J. Hill,WR,LAC,6,3,3,30,0,18,0.0045523520485584
00-0036383,Eno Benjamin,RB,ARI,8,7,6,42,0,-1,0.012280701754386
00-0036386,Andrew Thomas,OT,NYG,7,1,1,2,1,2,0.00177304964539
00-0036387,Jalen Reagor,WR,PHI,17,57,33,299,2,549,0.121794871794872
00-0036389,Jalen Hurts,QB,PHI,15,1,0,0,0,3,0.0021367521367521
00-0036407,Jerry Jeudy,WR,DEN,10,56,38,467,0,595,0.108317214700193
00-0036410,Tee Higgins,WR,CIN,14,110,74,1091,6,1323,0.203703703703704
00-0036412,KJ Hamler,WR,DEN,3,10,5,74,0,201,0.0193423597678917
00-0036414,Cam Akers,RB,LA,1,3,3,10,0,6,0.0049833887043189
00-0036415,Van Jefferson,WR,LA,17,89,50,802,6,1195,0.147840531561462
00-0036422,Adam Trautman,TE,NO,11,43,27,263,2,245,0.0907172995780591
00-0036423,Albert Okwuegbunam,TE,DEN,14,40,33,330,2,226,0.0773694390715667
00-0036424,Brycen Hopkins,TE,LA,1,1,1,9,0,3,0.0016611295681063
00-0036425,DeeJay Dallas,RB,SEA,17,23,21,133,0,39,0.0485232067510549
00-0036427,Tyler Johnson,WR,TB,16,55,36,360,0,432,0.0768156424581006
00-0036429,Charlie Woerner,TE,SF,8,6,5,52,0,52,0.0120724346076459
00-0036438,Stephen Sullivan,TE,CAR,1,1,0,0,0,-2,0.0017391304347826
00-0036439,Tyrie Cleveland,WR,DEN,4,1,0,0,0,5,0.0019342359767891
00-0036450,Ke'Shawn Vaughn,RB,TB,6,8,4,26,0,13,0.0111731843575419
00-0036456,Dominique Dafney,TE,GB,6,4,2,34,0,10,0.0070175438596491
00-0036457,Ty'Son Williams,RB,BAL,7,12,9,84,0,30,0.0203045685279188
00-0036482,Mike Strachan,WR,IND,2,3,2,26,0,54,0.0059760956175298
00-0036491,Tarik Black,WR,NYJ,1,2,1,10,0,18,0.0034423407917383
00-0036510,Kenny Yeboah,TE,NYJ,3,3,2,36,0,48,0.0051635111876075
00-0036523,Trey Ragas,RB,LV,1,2,2,6,0,-7,0.0033167495854063
00-0036534,Shane Zylstra,TE,DET,3,7,3,34,0,38,0.0123893805309735
00-0036550,Rashod Bateman,WR,BAL,12,68,46,515,1,606,0.115059221658206
00-0036554,Nico Collins,WR,HOU,14,60,33,446,1,637,0.11472275334608
00-0036555,Chuba Hubbard,RB,CAR,16,37,25,174,1,2,0.0643478260869565
00-0036556,Brevin Jordan,TE,HOU,8,28,20,178,3,159,0.0535372848948375
00-0036567,Elijah Mitchell,RB,SF,11,20,19,137,1,-12,0.0402414486921529
00-0036569,Gary Brightwell,RB,NYG,7,1,1,6,0,1,0.00177304964539
00-0036572,Shi Smith,WR,CAR,5,11,6,104,0,74,0.0191304347826087
00-0036613,Jaylen Waddle,WR,MIA,16,140,104,1015,6,993,0.233722871452421
00-0036620,Dee Eskridge,WR,SEA,8,20,10,64,1,252,0.0421940928270042
00-0036626,Dyami Brown,WR,WAS,10,25,12,165,0,381,0.0468164794007491
00-0036627,Dez Fitzpatrick,WR,TEN,3,8,5,49,1,109,0.0153256704980843
00-0036628,John Bates,TE,WAS,12,25,20,249,1,149,0.0468164794007491
00-0036630,Tylan Wallace,WR,BAL,10,6,2,23,0,38,0.0101522842639594
00-0036635,Ihmir Smith-Marsette,WR,MIN,6,6,5,116,2,128,0.0103806228373702
00-0036637,Noah Gray,TE,KC,7,10,7,36,1,23,0.0156985871271586
00-0036650,Larry Rountree III,RB,LAC,9,2,1,-1,0,-1,0.0030349013657056
00-0036652,Racey McMath,WR,TEN,6,6,2,8,0,67,0.0114942528735632
00-0036654,Demetric Felton,RB,CLE,15,21,18,181,2,9,0.0420841683366734
00-0036657,Seth Williams,WR,DEN,1,1,1,34,0,30,0.0019342359767891
00-0036669,Kylin Hill,RB,GB,8,2,1,5,0,-3,0.0035087719298245
00-0036670,Jermar Jefferson,RB,DET,4,5,4,23,0,1,0.0088495575221238
00-0036671,Dax Milne,WR,WAS,9,14,9,83,0,102,0.0262172284644195
00-0036698,Mekhi Sargent,RB,JAX,4,1,0,0,0,-4,0.0019157088122605
00-0036727,Adam Prentice,FB,NO,5,3,3,16,0,1,0.0063291139240506
00-0036741,Jack Stoll,TE,PHI,6,5,4,22,0,14,0.0106837606837607
00-0036754,Brock Wright,TE,DET,8,17,12,117,2,70,0.0300884955752212
00-0036755,Jaret Patterson,RB,WAS,15,11,10,73,0,-3,0.0205992509363296
00-0036842,Kene Nwangwu,RB,MIN,9,5,4,9,0,-6,0.0086505190311418
00-0036857,Chris Evans,RB,CIN,9,17,15,151,2,50,0.0314814814814815
00-0036862,Ben Skowronek,WR,LA,12,20,11,133,0,210,0.0332225913621263
00-0036875,Rhamondre Stevenson,RB,NE,12,18,14,123,0,-5,0.0343511450381679
00-0036876,Kylen Granson,TE,IND,10,15,11,106,0,59,0.0298804780876494
00-0036877,Jaelon Darden,WR,TB,9,12,6,43,0,156,0.0167597765363129
00-0036887,Luke Farrell,TE,JAX,8,11,7,56,0,73,0.0188679245283019
00-0036893,Najee Harris,RB,PIT,17,94,74,467,3,-13,0.143950995405819
00-0036894,Pat Freiermuth,TE,PIT,16,79,60,497,7,432,0.120980091883614
00-0036900,Ja'Marr Chase,WR,CIN,17,128,81,1455,13,1617,0.237037037037037
00-0036906,Khalil Herbert,RB,CHI,16,16,14,96,0,-5,0.0305343511450382
00-0036907,Dazz Newsome,WR,CHI,3,5,2,23,0,36,0.0095419847328244
00-0036910,C.J. Saunders,WR,CAR,1,2,2,11,0,11,0.0034782608695652
00-0036912,DeVonta Smith,WR,PHI,17,104,64,916,5,1476,0.222222222222222
00-0036913,Kadarius Toney,WR,NYG,9,57,39,420,0,367,0.101063829787234
00-0036919,Kenny Gainwell,RB,PHI,16,50,33,253,1,93,0.106837606837607
00-0036924,Michael Carter,RB,NYJ,14,55,36,325,0,33,0.0946643717728055
00-0036936,Rondale Moore,WR,ARI,14,64,54,435,1,92,0.112280701754386
00-0036951,Frank Darby,WR,ATL,4,4,1,14,0,83,0.0072202166064982
00-0036955,Terrace Marshall Jr.,WR,CAR,12,30,17,138,0,211,0.0521739130434783
00-0036963,Amon-Ra St. Brown,WR,DET,16,119,90,912,5,831,0.210619469026549
00-0036970,Kyle Pitts,TE,ATL,17,110,68,1026,1,1193,0.1985559566787
00-0036980,Elijah Moore,WR,NYJ,11,77,43,538,5,899,0.132530120481928
00-0036984,Trey Sermon,RB,SF,6,4,3,26,0,10,0.0080482897384305
00-0036988,Josh Palmer,WR,LAC,15,49,33,353,4,489,0.0743550834597876
00-0036991,Amari Rodgers,WR,GB,16,8,4,45,0,40,0.0140350877192982
00-0036997,Javonte Williams,RB,DEN,17,53,43,316,3,-12,0.102514506769826
00-0036999,Anthony Schwartz,WR,CLE,13,23,10,135,1,396,0.0460921843687375
00-0037004,Hunter Long,TE,MIA,3,3,1,8,0,10,0.005008347245409
00-0037005,Tommy Tremble,TE,CAR,15,35,20,180,1,287,0.0608695652173913
00-0037011,Tre' McKitty,TE,LAC,6,8,6,45,0,18,0.0121396054628225
00-0037013,Zach Wilson,QB,NYJ,13,1,0,0,0,8,0.0017211703958691
