year,team,win_total_line,over_odds,under_odds,actual_wins,result,games,points_for,points_against,point_diff,avg_point_diff,pyth_win_pct,pyth_wins,n_games,sos_actual_wins,sos_pyth_wins,sos_this_year_line,next_actual_wins,next_pyth_wins,next_win_total_line,sos_next_yr_line,win_change,pyth_win_change,schedule_delta_actual,schedule_delta_pyth,luck
2023,CAR,7.5,115,-135,2,Under,17,236,416,-180,-10.588,0.2069,3.52,17,8.882352941176471,8.975882352941177,8.206,5,4.36,5.5,8.294,3,0.8400000000000003,-0.5883529411764705,-0.6818823529411766,-1.52
2024,CAR,5.5,-130,110,5,Under,17,341,534,-193,-11.353,0.2567,4.36,17,8.470588235294118,8.701176470588235,8.294,8,6.52,6.5,8.382,3,2.1599999999999993,-0.08858823529411808,-0.3191764705882356,0.6399999999999997
2015,CHI,6.5,100,-120,6,Under,16,335,397,-62,-3.875,0.4007,6.41,16,8.75,8.37125,8.281,3,4.8,7.5,7.906,-3,-1.6100000000000003,-0.8440000000000003,-0.46525000000000016,-0.41000000000000014
2016,CHI,7.5,145,-165,3,Under,16,279,399,-120,-7.5,0.2999,4.8,16,8.3125,8.015625,7.906,5,6.21,5.5,8.344,2,1.4100000000000001,0.03149999999999942,0.3283749999999994,-1.7999999999999998
2017,CHI,5.5,105,-125,5,Under,16,264,320,-56,-3.5,0.388,6.21,16,8.9375,8.641875,8.344,12,11.51,7.5,8.094,7,5.3,-0.8435000000000006,-0.5478750000000012,-1.21
2018,CHI,7.5,115,-135,12,Over,16,421,283,138,8.625,0.7194,11.51,16,6.75,7.199999999999999,8.094,8,7.41,9.0,8.406,-4,-4.1,1.6560000000000006,1.2060000000000013,0.4900000000000002
2019,CHI,9.0,-140,120,8,Under,16,280,298,-18,-1.125,0.4632,7.41,16,8.0625,8.278125,8.406,8,8.05,8.0,7.938,0,0.6400000000000006,-0.12450000000000028,-0.34012499999999957,0.5899999999999999
2020,CHI,8.0,115,-135,8,Push,16,372,370,2,0.125,0.5032,8.05,16,7.8125,7.983125,7.938,6,5.88,7.5,8.794,-2,-2.170000000000001,0.9815000000000005,0.8108750000000002,-0.05000000000000071
2021,CHI,7.5,120,-140,6,Under,17,311,407,-96,-5.647,0.3458,5.88,17,8.823529411764707,8.538823529411765,8.794,3,5.16,5.5,8.382,-3,-0.7199999999999998,-0.44152941176470684,-0.15682352941176525,0.1200000000000001
2022,CHI,5.5,-130,100,3,Under,17,326,463,-137,-8.059,0.3033,5.16,17,9.588235294117647,9.081176470588234,8.382,7,7.98,7.5,8.147,4,2.8200000000000003,-1.4412352941176465,-0.934176470588234,-2.16
