year,team,pyth_wins_T,sos_pyth_T,pyth_wins_T1,sos_pyth_T1,opp_pyth_delta
2020,CAR,6.7,8.59,5.07,8.249375,0.3406249999999993
2020,CHI,8.05,7.983125,7.41,8.278125,-0.29499999999999904
2020,CIN,5.19,8.27875,4.4,8.260625,0.01812500000000128
2020,CLE,7.75,7.541875,6.5,8.370625,-0.8287500000000003
2020,DAL,6.32,7.905625,10.74,7.600625,0.3049999999999997
2020,DEN,5.08,8.483125,6.93,8.118125000000001,0.36499999999999844
2020,DET,5.11,8.43375,6.0,8.13375,0.3000000000000007
2020,GB,10.91,7.48125,9.71,7.829375,-0.3481249999999996
2020,HOU,6.24,8.139375,7.83,8.43375,-0.2943750000000005
2020,IND,10.04,7.184375,7.69,7.534375,-0.34999999999999964
2020,JAX,3.92,8.36625,5.44,7.7250000000000005,0.6412500000000003
2020,KC,10.45,7.708125,11.39,8.174375,-0.4662499999999996
2020,LAC,7.02,7.579375,7.78,7.70875,-0.12937500000000046
2020,LAR,10.12,8.0625,8.75,8.334375,-0.27187499999999964
2020,LV,7.09,8.113125,5.34,7.923125000000001,0.1899999999999995
2020,MIA,9.67,7.3237499999999995,3.89,8.286875,-0.9631250000000007
2020,MIN,7.06,8.133125,10.69,7.63625,0.4968749999999993
2020,NE,7.25,8.18375,13.03,7.37875,0.8049999999999997
2020,NO,11.2,7.8,10.69,7.836875,-0.03687500000000021
2020,NYG,5.76,8.248125,5.44,7.9425,0.30562500000000004
2020,NYJ,2.93,8.70875,5.59,7.78125,0.9275000000000002
2020,PHI,5.92,8.4225,8.79,7.6125,0.8099999999999996
2020,PIT,10.63,7.538125,7.55,8.16,-0.6218750000000002
2020,SEA,9.98,7.8075,8.17,8.49,-0.6825000000000001
2020,SF,7.65,8.565625,11.79,7.664375,0.901250000000001
2020,TB,10.95,7.975625,8.19,7.73,0.24562499999999954
2020,TEN,9.06,7.663125,9.81,7.5725,0.09062500000000018
2020,WAS,8.17,7.4975,3.8,8.306875,-0.8093750000000002
2021,ARI,10.52,8.456470588235293,9.04,7.748125,0.7083455882352929
2021,ATL,4.89,8.357058823529412,7.58,8.423125,-0.06606617647058854
2021,BAL,8.37,8.542941176470588,11.79,7.516875,1.0260661764705885
2021,BUF,13.12,7.801764705882353,10.64,7.86375,-0.06198529411764664
2021,CAR,5.74,8.531176470588235,6.7,8.59,-0.0588235294117645
2021,CHI,5.88,8.538823529411765,8.05,7.983125,0.5556985294117647
2021,CIN,10.49,7.630000000000001,5.19,8.27875,-0.6487499999999997
2021,CLE,7.89,8.5,7.75,7.541875,0.9581249999999999
2021,DAL,12.19,8.192352941176472,6.32,7.905625,0.2867279411764718
2021,DEN,8.9,7.7841176470588245,5.08,8.483125,-0.6990073529411749
2021,DET,5.06,8.674117647058823,5.11,8.43375,0.2403676470588234
2021,GB,10.41,8.208235294117646,10.91,7.48125,0.7269852941176458
2021,HOU,4.14,8.728235294117647,6.24,8.139375,0.588860294117648
2021,IND,10.59,8.253529411764706,10.04,7.184375,1.069154411764706
2021,JAX,3.36,8.92764705882353,3.92,8.36625,0.5613970588235286
2021,KC,11.19,8.762352941176472,10.45,7.708125,1.054227941176472
2021,LAC,8.82,8.531764705882352,7.02,7.579375,0.9523897058823527
2021,LAR,10.59,8.371176470588235,10.12,8.0625,0.3086764705882352
2021,LV,6.91,8.698823529411765,7.09,8.113125,0.5856985294117649
2021,MIA,7.6,8.171176470588236,9.67,7.3237499999999995,0.8474264705882364
2021,MIN,8.48,8.450588235294118,7.06,8.133125,0.31746323529411846
2021,NE,12.43,8.160588235294117,7.25,8.18375,-0.023161764705882604
2021,NO,9.33,8.504117647058823,11.2,7.8,0.7041176470588235
2021,NYG,4.14,8.706470588235293,5.76,8.248125,0.4583455882352929
2021,NYJ,4.08,9.167058823529413,2.93,8.70875,0.4583088235294124
2021,PHI,9.92,7.739999999999999,5.92,8.4225,-0.6825000000000001
2021,PIT,7.02,8.92470588235294,10.63,7.538125,1.3865808823529404
2021,SEA,9.27,8.397647058823528,9.98,7.8075,0.5901470588235282
2021,SF,10.06,8.48,7.65,8.565625,-0.08562500000000028
2021,TB,12.0,8.025294117647059,10.95,7.975625,0.04966911764705895
2021,TEN,10.18,8.317058823529411,9.06,7.663125,0.6539338235294112
2021,WAS,5.97,9.00470588235294,8.17,7.4975,1.5072058823529408
2022,ARI,5.8,8.82,10.52,8.456470588235293,0.36352941176470743
2022,ATL,7.94,8.03,4.89,8.357058823529412,-0.32705882352941273
2022,BAL,9.56,8.479411764705883,8.37,8.542941176470588,-0.06352941176470495
2022,BUF,12.01,8.17875,13.12,7.801764705882353,0.3769852941176479
2022,CAR,7.75,8.173529411764706,5.74,8.531176470588235,-0.3576470588235292
2022,CHI,5.16,9.081176470588234,5.88,8.538823529411765,0.5423529411764694
2022,CIN,10.4,8.4625,10.49,7.630000000000001,0.8324999999999996
2022,CLE,7.96,8.485294117647058,7.89,8.5,-0.014705882352942012
2022,DAL,11.5,8.058823529411764,12.19,8.192352941176472,-0.133529411764707
2022,DEN,6.3,8.301176470588235,8.9,7.7841176470588245,0.5170588235294105
2022,DET,9.09,8.649411764705881,5.06,8.674117647058823,-0.0247058823529418
2022,GB,8.47,8.356470588235295,10.41,8.208235294117646,0.14823529411764902
2022,HOU,4.96,8.115882352941176,4.14,8.728235294117647,-0.6123529411764714
2022,IND,4.83,8.318235294117647,10.59,8.253529411764706,0.06470588235294095
2022,JAX,9.93,7.820588235294117,3.36,8.92764705882353,-1.107058823529412
2022,KC,11.36,7.9658823529411755,11.19,8.762352941176472,-0.7964705882352963
2022,LAC,8.68,7.974117647058824,8.82,8.531764705882352,-0.5576470588235285
2022,LAR,6.3,8.933529411764706,10.59,8.371176470588235,0.5623529411764707
2022,LV,7.93,8.063529411764707,6.91,8.698823529411765,-0.6352941176470583
2022,MIA,8.45,8.86,7.6,8.171176470588236,0.6888235294117635
2022,MIN,8.43,8.277058823529412,8.48,8.450588235294118,-0.17352941176470615
2022,NE,8.98,8.32764705882353,12.43,8.160588235294117,0.1670588235294126
2022,NO,8.05,8.389411764705883,9.33,8.504117647058823,-0.11470588235293988
2022,NYG,8.34,8.554117647058824,4.14,8.706470588235293,-0.1523529411764688
2022,NYJ,7.84,8.833529411764706,4.08,9.167058823529413,-0.3335294117647063
2022,PHI,11.64,7.885294117647059,9.92,7.739999999999999,0.1452941176470599
2022,PIT,7.34,8.73058823529412,7.02,8.92470588235294,-0.19411764705882106
2022,SEA,8.65,8.262352941176472,9.27,8.397647058823528,-0.13529411764705657
2022,SF,12.91,7.535882352941178,10.06,8.48,-0.9441176470588228
2022,TB,7.16,8.69,12.0,8.025294117647059,0.6647058823529406
2022,TEN,6.65,8.464705882352941,10.18,8.317058823529411,0.14764705882353013
2022,WAS,7.83,8.781764705882352,5.97,9.00470588235294,-0.22294117647058798
2023,ARI,5.41,8.972941176470588,5.8,8.82,0.1529411764705877
2023,ATL,7.0,7.642941176470589,7.94,8.03,-0.38705882352941057
2023,BAL,13.34,8.598235294117647,9.56,8.479411764705883,0.11882352941176322
2023,BUF,12.02,7.751764705882353,12.01,8.17875,-0.42698529411764774
2023,CAR,3.52,8.975882352941177,7.75,8.173529411764706,0.8023529411764709
2023,CHI,7.98,8.100588235294119,5.16,9.081176470588234,-0.9805882352941158
2023,CIN,8.02,9.390588235294118,10.4,8.4625,0.9280882352941173
2023,CLE,9.4,8.64,7.96,8.485294117647058,0.15470588235294258
2023,DAL,12.87,7.283529411764706,11.5,8.058823529411764,-0.7752941176470589
2023,DEN,7.05,8.481764705882354,6.3,8.301176470588235,0.1805882352941186
2023,DET,10.04,8.715882352941176,9.09,8.649411764705881,0.06647058823529406
2023,GB,9.4,8.079411764705881,8.47,8.356470588235295,-0.2770588235294138
2023,HOU,9.16,7.871764705882352,4.96,8.115882352941176,-0.24411764705882355
2023,IND,8.03,8.236470588235294,4.83,8.318235294117647,-0.08176470588235318
2023,JAX,8.66,8.965294117647058,9.93,7.820588235294117,1.144705882352941
2023,KC,10.79,8.184117647058823,11.36,7.9658823529411755,0.21823529411764753
2023,LAC,7.1,9.064117647058824,8.68,7.974117647058824,1.0899999999999999
2023,LAR,9.2,8.75235294117647,6.3,8.933529411764706,-0.18117647058823572
2023,LV,8.53,8.164117647058823,7.93,8.063529411764707,0.10058823529411676
2023,MIA,10.83,7.754117647058823,8.45,8.86,-1.105882352941176
2023,MIN,7.99,8.718235294117646,8.43,8.277058823529412,0.4411764705882337
2023,NE,4.44,8.676470588235293,8.98,8.32764705882353,0.34882352941176364
2023,NO,10.54,7.38470588235294,8.05,8.389411764705883,-1.0047058823529431
2023,NYG,4.55,8.721764705882352,8.34,8.554117647058824,0.16764705882352793
