year,player,prior_yards,prior_games,line,line_minus_prior,actual,diff,result,games,prior_injury
2024,Jakobi Meyers,807,16,650.5,-156.5,1027.0,376.5,over,15,False
2024,Brandin Cooks,657,16,625.5,-31.5,259.0,-366.5,under,10,False
2024,Romeo Doubs,674,17,575.5,-98.5,601.0,25.5,over,13,False
2025,Ja'Marr Chase,1708,17,1325.5,-382.5,1412.0,86.5,over,16,False
2025,Justin Jefferson,1533,17,1250.5,-282.5,1048.0,-202.5,under,17,False
2025,CeeDee Lamb,1194,15,1200.5,6.5,1077.0,-123.5,under,13,False
2025,Puka Nacua,990,11,1200.5,210.5,1715.0,514.5,over,16,True
2025,Malik Nabers,1204,15,1150.5,-53.5,271.0,-879.5,under,4,False
2025,Brian Thomas Jr,1282,17,1150.5,-131.5,707.0,-443.5,under,14,False
2025,Nico Collins,1006,12,1125.5,119.5,1117.0,-8.5,under,15,True
2025,Drake London,1271,17,1125.5,-145.5,919.0,-206.5,under,12,False
2025,Amon-Ra St. Brown,1263,17,1100.5,-162.5,1401.0,300.5,over,17,False
2025,AJ Brown,1079,13,1100.5,21.5,1003.0,-97.5,under,15,True
2025,Ladd McConkey,1149,16,1025.5,-123.5,789.0,-236.5,under,16,False
2025,Tee Higgins,911,12,975.5,64.5,846.0,-129.5,under,15,True
2025,Tyreek Hill,959,17,975.5,16.5,265.0,-710.5,under,4,False
2025,Jaxon Smith-Njigba,1130,17,975.5,-154.5,1793.0,817.5,over,17,False
2025,Marvin Harrison,885,17,975.5,90.5,608.0,-367.5,under,12,False
2025,DJ Moore,966,17,975.5,9.5,682.0,-293.5,under,17,False
2025,Davante Adams,1063,14,950.5,-112.5,789.0,-161.5,under,14,False
2025,Mike Evans,1004,14,950.5,-53.5,368.0,-582.5,under,8,False
2025,DK Metcalf,992,15,950.5,-41.5,850.0,-100.5,under,15,False
2025,Garrett Wilson,1104,17,925.5,-178.5,395.0,-530.5,under,7,False
2025,Calvin Ridley,1017,17,925.5,-91.5,303.0,-622.5,under,7,False
2025,Jaylen Waddle,744,15,925.5,181.5,910.0,-15.5,under,16,False
2025,Xavier Worthy,638,16,900.5,262.5,532.0,-368.5,under,14,False
2025,Zay Flowers,1059,17,900.5,-158.5,1211.0,310.5,over,17,False
2025,George Pickens,900,14,900.5,0.5,1429.0,528.5,over,17,False
2025,Jameson Williams,1001,15,900.5,-100.5,1117.0,216.5,over,17,False
2025,Jerry Jeudy,1229,17,900.5,-328.5,602.0,-298.5,under,17,False
2025,Courtland Sutton,1081,16,875.5,-205.5,1017.0,141.5,over,17,False
2025,DeVonta Smith,833,13,875.5,42.5,1008.0,132.5,over,17,True
2025,Rome Odunze,734,17,875.5,141.5,661.0,-214.5,under,12,False
2025,Chris Olave,400,8,825.5,425.5,1163.0,337.5,over,16,True
2025,Stefon Diggs,496,8,750.5,254.5,1013.0,262.5,over,17,True
2025,Michael Pittman Jr,808,16,750.5,-57.5,784.0,33.5,over,17,False
