player_id,player_display_name,position,recent_team,games,carries,rushing_yards,rushing_tds,rushing_first_downs,receptions,receiving_yards,receiving_tds
00-0034270,Tyler Conklin,TE,LAC,6,1,2,0,1,7,101,0
00-0034367,Nyheim Hines,RB,NO,4,2,-2,0,0,0,0,0
00-0034577,Kyle Allen,QB,DET,2,3,-3,0,0,0,0,0
00-0034753,Mark Andrews,TE,BAL,17,10,48,1,7,48,422,5
00-0034771,Mason Rudolph,QB,PIT,5,7,6,0,2,0,0,0
00-0034791,Nick Chubb,RB,HOU,15,122,506,3,20,13,67,0
00-0034796,Lamar Jackson,QB,BAL,13,67,349,2,24,0,0,0
00-0034827,DJ Moore,WR,CHI,17,15,79,1,5,50,682,6
00-0034844,Saquon Barkley,RB,PHI,16,280,1140,7,48,37,273,2
00-0034855,Baker Mayfield,QB,TB,17,55,382,1,27,0,0,0
00-0034857,Josh Allen,QB,BUF,16,112,579,14,46,0,0,0
00-0034869,Sam Darnold,QB,SEA,17,35,95,0,10,0,0,0
00-0034959,Andrew Beck,FB,NYJ,11,1,5,0,1,6,45,2
00-0034960,Jakobi Meyers,WR,JAX,16,5,13,0,1,75,835,3
00-0034975,Justice Hill,RB,BAL,10,18,93,2,4,21,169,1
00-0035021,Ashton Dulin,WR,IND,12,3,44,0,2,5,106,0
00-0035042,Jamie Gillan,P,NYG,16,1,-13,0,0,0,0,0
00-0035100,Jake Browning,QB,CIN,5,9,39,1,5,0,0,0
00-0035125,Alec Ingold,FB,MIA,9,2,9,0,1,8,52,0
00-0035208,Olamide Zaccheaus,WR,CHI,14,4,25,0,1,39,313,2
00-0035228,Kyler Murray,QB,ARI,5,29,173,1,10,0,0,0
00-0035229,T.J. Hockenson,TE,MIN,15,1,0,0,0,51,438,3
00-0035243,Miles Sanders,RB,DAL,4,20,117,1,5,8,30,0
00-0035250,Devin Singletary,RB,NYG,17,119,437,5,27,18,151,0
00-0035261,Tony Pollard,RB,TEN,17,242,1082,5,48,33,206,0
00-0035264,Jarrett Stidham,QB,DEN,1,1,-1,0,0,0,0,0
00-0035289,Gardner Minshew,QB,KC,4,6,2,0,0,0,0,0
00-0035291,Trayveon Williams,RB,CLE,6,10,36,0,3,8,55,0
00-0035311,Myles Gaskin,RB,SEA,1,3,6,0,0,0,0,0
00-0035500,Greg Dortch,WR,ARI,12,7,15,1,1,29,206,3
00-0035537,Ty Johnson,RB,BUF,17,50,200,3,13,24,263,2
00-0035567,Craig Reynolds,RB,DET,5,3,4,0,0,0,0,0
00-0035594,Travis Homer,RB,CHI,8,1,-2,0,0,0,0,0
00-0035628,D'Ernest Johnson,RB,NE,5,14,25,0,0,0,0,0
00-0035631,Drew Sample,TE,CIN,12,1,3,0,0,15,106,1
00-0035640,DK Metcalf,WR,PIT,15,2,12,1,1,59,850,6
00-0035685,David Montgomery,RB,DET,17,158,716,8,41,24,192,0
00-0035700,Josh Jacobs,RB,GB,15,234,929,13,55,36,282,1
00-0035704,Drew Lock,QB,SEA,3,6,-5,0,0,0,0,0
00-0035710,Daniel Jones,QB,IND,13,45,164,5,19,0,0,0
00-0035719,Deebo Samuel Sr.,WR,WAS,16,17,75,1,4,72,727,5
00-0035993,Tyler Huntley,QB,BAL,5,24,151,0,11,0,0,0
00-0036139,Rico Dowdle,RB,CAR,17,236,1076,6,51,39,297,1
00-0036158,J.K. Dobbins,RB,DEN,10,153,772,4,37,11,37,0
00-0036187,Reggie Gilliam,RB,BUF,11,2,4,0,1,2,24,0
00-0036212,Tua Tagovailoa,QB,MIA,14,20,43,0,1,0,0,0
00-0036223,Jonathan Taylor,RB,IND,17,323,1585,18,84,46,378,2
00-0036264,Jordan Love,QB,GB,15,47,199,0,14,0,0,0
00-0036265,AJ Dillon,RB,PHI,6,12,60,0,4,3,21,0
00-0036275,D'Andre Swift,RB,CHI,16,223,1087,9,62,34,299,1
00-0036313,Braden Mann,P,PHI,17,1,-34,0,0,0,0,0
00-0036322,Justin Jefferson,WR,MIN,17,2,7,0,0,84,1048,2
00-0036328,Antonio Gibson,RB,NE,5,25,106,1,6,2,6,0
00-0036355,Justin Herbert,QB,LAC,16,83,498,2,34,0,0,0
00-0036358,CeeDee Lamb,WR,DAL,13,1,2,0,0,75,1077,3
00-0036360,Clyde Edwards-Helaire,RB,KC,2,7,13,0,1,2,9,0
00-0036389,Jalen Hurts,QB,PHI,16,105,421,8,40,0,0,0
00-0036407,Jerry Jeudy,WR,CLE,17,1,5,0,1,50,602,2
00-0036414,Cam Akers,RB,SEA,4,5,19,0,1,0,0,0
00-0036425,DeeJay Dallas,RB,JAX,5,3,21,0,1,0,0,0
00-0036442,Joe Burrow,QB,CIN,8,14,41,0,5,0,0,0
00-0036554,Nico Collins,WR,HOU,15,2,15,1,1,71,1117,6
00-0036555,Chuba Hubbard,RB,CAR,15,134,511,1,31,30,223,3
00-0036613,Jaylen Waddle,WR,MIA,16,2,28,0,1,64,910,6
00-0036626,Dyami Brown,WR,JAX,11,6,30,0,2,20,227,1
00-0036672,Grant Stuard,LB,DET,14,1,0,0,0,0,0,0
00-0036679,Shane Buechele,QB,KC,1,1,4,0,0,0,0,0
00-0036727,Adam Prentice,FB,DEN,13,10,44,0,7,6,53,0
00-0036755,Jaret Patterson,RB,LAC,6,41,159,1,7,3,8,0
00-0036825,Feleipe Franks,TE,ATL,10,2,4,0,2,0,0,0
00-0036842,Kene Nwangwu,RB,NYJ,10,13,49,0,2,0,0,0
00-0036875,Rhamondre Stevenson,RB,NE,14,130,603,7,29,32,345,2
00-0036893,Najee Harris,RB,LAC,3,15,61,0,3,3,25,0
00-0036898,Davis Mills,QB,HOU,6,13,60,1,2,0,0,0
00-0036900,Ja'Marr Chase,WR,CIN,16,3,14,0,0,125,1412,8
00-0036906,Khalil Herbert,RB,NYJ,5,16,52,0,2,1,4,0
00-0036919,Kenny Gainwell,RB,PIT,17,114,537,5,34,73,486,3
00-0036924,Michael Carter,RB,ARI,13,92,333,1,19,33,267,0
00-0036945,Justin Fields,QB,NYJ,9,71,383,4,26,0,0,0
00-0036963,Amon-Ra St. Brown,WR,DET,17,3,9,0,1,117,1401,11
00-0036971,Trevor Lawrence,QB,JAX,17,82,359,9,40,0,0,0
00-0036972,Mac Jones,QB,SF,11,36,60,0,11,0,0,0
00-0036973,Travis Etienne,RB,JAX,17,260,1107,7,48,36,292,6
00-0036980,Elijah Moore,WR,BUF,9,6,24,1,3,9,112,0
00-0036997,Javonte Williams,RB,DAL,16,252,1201,11,67,35,137,2
00-0037012,Trey Lance,QB,LAC,4,17,85,0,5,0,0,0
00-0037013,Zach Wilson,QB,MIA,4,3,1,0,0,0,0,0
00-0037085,Tyler Badie,RB,DEN,16,8,23,0,1,19,141,0
00-0037091,Bo Melton,WR,GB,13,5,35,0,2,4,107,1
00-0037120,Tyler Goodson,RB,IND,10,9,24,0,0,2,8,0
00-0037157,Bam Knight,RB,ARI,12,82,269,4,21,22,160,1
00-0037197,Isiah Pacheco,RB,KC,13,118,462,1,27,19,101,1
00-0037228,Jaylen Warren,RB,PIT,16,211,958,6,52,40,333,2
00-0037239,Chris Olave,WR,NO,16,1,-3,0,0,100,1163,9
00-0037240,Jameson Williams,WR,DET,17,6,12,0,0,65,1117,7
00-0037248,James Cook,RB,BUF,17,309,1621,12,68,33,291,2
00-0037252,Greg Dulcich,TE,MIA,9,1,-7,0,0,26,335,1
00-0037256,Rachaad White,RB,TB,17,132,572,4,37,40,218,0
00-0037258,Dameon Pierce,RB,KC,5,14,36,0,1,0,0,0
00-0037261,Khalil Shakir,WR,BUF,16,1,5,0,0,72,719,4
00-0037263,Tyler Allgeier,RB,ATL,17,143,514,8,36,14,96,0
00-0037267,Jerome Ford,RB,CLE,13,24,73,0,5,26,103,0
00-0037276,Ty Chandler,RB,MIN,3,17,47,0,1,3,11,0
00-0037291,Jalen Nailor,WR,MIN,17,2,13,0,1,29,444,4
00-0037304,Connor Heyward,FB,PIT,14,15,43,2,11,3,21,1
00-0037323,Rodney Thomas,SAF,IND,11,1,3,0,1,0,0,0
00-0037324,Chris Oladokun,QB,KC,3,5,18,0,0,0,0,0
00-0037329,Brittain Brown,RB,CHI,2,5,37,1,2,0,0,0
00-0037487,Deven Thompkins,WR,ATL,7,1,5,0,0,3,27,0
00-0037512,Isaiah Pola-Mao,SAF,LV,17,1,3,0,0,0,0,0
00-0037525,Jordan Mason,RB,MIN,16,159,758,6,45,14,51,0
00-0037545,Rashid Shaheed,WR,SEA,18,9,69,0,3,59,687,2
00-0037557,Ronnie Rivers,RB,LA,6,9,46,0,3,0,0,0
00-0037563,Malik Davis,RB,DAL,10,52,250,2,11,2,16,0
00-0037594,Julius Chestnut,RB,TEN,16,11,40,0,4,0,0,0
00-0037614,John Metchie III,WR,NYJ,13,3,-5,0,0,33,274,2
00-0037617,Hassan Haskins,RB,LAC,11,17,47,0,4,4,13,0
00-0037692,Brandon Aubrey,K,DAL,17,1,6,0,1,0,0,0
00-0037745,Velus Jones Jr.,WR,SEA,5,4,32,0,1,0,0,0
00-0037746,Brian Robinson,RB,SF,17,92,400,2,20,8,25,0
00-0037801,KaVontae Turpin,WR,DAL,15,17,89,0,3,26,396,2
00-0037834,Brock Purdy,QB,SF,9,33,147,3,16,0,0,0
00-0037840,Kyren Williams,RB,LA,17,259,1252,10,74,36,281,3
00-0038040,Zamir White,RB,LV,5,12,32,0,1,4,24,0
00-0038041,Jake Ferguson,TE,DAL,17,1,1,0,0,82,600,8
00-0038090,Skyy Moore,WR,SF,17,2,11,0,1,5,87,0
00-0038102,Kenny Pickett,QB,LV,6,5,22,0,3,0,0,0
00-0038117,Wan'Dale Robinson,WR,NYG,16,3,5,0,1,92,1014,4
00-0038120,Breece Hall,RB,NYJ,16,243,1065,4,57,36,350,1
00-0038124,Christian Watson,WR,GB,10,1,3,0,0,35,611,6
00-0038128,Malik Willis,QB,GB,4,22,123,2,9,0,0,0
00-0038134,Kenneth Walker III,RB,SEA,17,221,1027,5,46,31,282,0
00-0038393,Dontayvion Wicks,WR,GB,13,1,6,0,0,30,332,2
00-0038397,Evan Hull,RB,NO,6,19,48,0,2,1,6,0
00-0038400,Tanner McKee,QB,PHI,4,8,8,0,1,0,0,0
00-0038416,Tyson Bagent,QB,CHI,2,2,7,0,0,0,0,0
00-0038440,Zavier Scott,RB,MIN,11,32,114,0,6,14,98,1
00-0038454,Keaton Mitchell,RB,BAL,13,59,341,1,16,9,63,0
00-0038458,Owen Wright,RB,TB,2,3,6,0,0,0,0,0
00-0038519,Nikko Remigio,WR,KC,14,1,11,0,1,1,21,0
00-0038542,Bijan Robinson,RB,ATL,17,287,1478,7,63,79,820,4
00-0038543,Jaxon Smith-Njigba,WR,SEA,17,7,36,0,2,119,1793,10
00-0038544,Quentin Johnston,WR,LAC,13,2,7,0,0,51,735,8
00-0038551,Kendre Miller,RB,NO,7,47,193,1,9,5,30,0
00-0038555,Tank Bigsby,RB,PHI,15,63,356,2,18,3,32,0
00-0038563,Tre Tucker,WR,LV,17,11,51,0,1,57,696,5
00-0038573,Derius Davis,WR,LAC,11,2,5,0,0,2,10,0
00-0038579,Aidan O'Connell,QB,LV,1,1,7,0,0,0,0,0
00-0038582,Clayton Tune,QB,GB,2,5,23,0,2,0,0,0
00-0038597,Chase Brown,RB,CIN,17,232,1019,6,52,69,437,5
00-0038606,Parker Washington,WR,JAX,16,7,0,0,1,58,847,5
00-0038611,Chris Rodriguez Jr.,RB,WAS,12,112,500,6,32,3,30,0
00-0038618,Xavier Hutchinson,WR,HOU,16,3,22,0,2,35,428,3
00-0038619,Andrei Iosivas,WR,CIN,15,3,14,0,0,33,435,2
00-0038621,DeMario Douglas,WR,NE,16,7,21,0,2,31,447,3
00-0038658,Adrian Martinez,QB,SF,1,1,-1,0,0,0,0,0
00-0038685,Chris Brooks,RB,GB,17,27,106,0,5,13,91,0
00-0038705,Emari Demercado,RB,ARI,12,44,312,0,9,13,101,1
00-0038738,Hunter Luepke,RB,DAL,14,16,71,0,6,13,109,1
00-0038794,Jaleel McLaughlin,RB,DEN,8,37,187,1,8,4,27,0
00-0038797,Emanuel Wilson,RB,GB,17,125,496,3,32,15,99,0
00-0038891,Shedrick Jackson,WR,LV,3,1,3,0,0,4,56,1
00-0038896,Jacob Saylors,RB,DET,11,2,11,0,1,0,0,0
00-0038911,Malik Cunningham,WR,DET,1,1,1,0,0,0,0,0
00-0038951,Sean Tucker,RB,TB,17,86,320,7,22,8,34,1
00-0038976,Marvin Mims Jr.,WR,DEN,15,12,78,1,3,37,322,1
00-0038994,Jordan Addison,WR,MIN,14,2,81,1,2,42,610,3
00-0038996,Tucker Kraft,TE,GB,8,1,3,0,0,32,489,6
00-0038997,Josh Downs,WR,IND,16,2,-2,0,0,58,566,4
00-0039021,Roschon Johnson,RB,CHI,6,2,17,0,1,0,0,0
00-0039032,Tyjae Spears,RB,TEN,13,72,283,2,16,45,264,0
00-0039040,De'Von Achane,RB,MIA,16,238,1350,8,56,67,488,4
00-0039064,Zay Flowers,WR,BAL,17,10,62,1,3,86,1211,5
00-0039067,Rashee Rice,WR,KC,8,5,20,1,2,53,571,5
00-0039075,Puka Nacua,WR,LA,16,10,105,1,5,129,1715,10
00-0039139,Jahmyr Gibbs,RB,DET,17,243,1223,13,56,77,616,5
00-0039146,Jayden Reed,WR,GB,5,3,28,0,1,19,207,1
00-0039150,Bryce Young,QB,CAR,16,54,216,2,16,0,0,0
00-0039163,C.J. Stroud,QB,HOU,14,48,209,1,18,0,0,0
00-0039164,Anthony Richardson,QB,IND,2,4,-1,0,1,1,9,0
00-0039165,Zach Charbonnet,RB,SEA,16,184,730,12,48,20,144,0
00-0039266,Kendall Milton,RB,CIN,1,2,2,0,0,0,0,0
00-0039299,George Holani,RB,SEA,10,22,73,1,5,2,15,0
00-0039338,Brock Bowers,TE,LV,12,2,2,0,0,64,680,7
00-0039342,Xavier Legette,WR,CAR,15,1,0,0,0,35,363,3
00-0039359,Cade Stover,TE,HOU,6,4,3,0,2,12,76,0
00-0039361,Bucky Irving,RB,TB,10,173,588,1,27,30,277,3
00-0039364,Sione Vaki,RB,DET,8,1,4,0,0,0,0,0
00-0039373,Audric Estimé,RB,NO,5,46,198,1,12,12,103,0
00-0039376,Spencer Rattler,QB,NO,9,31,167,0,17,1,0,0
00-0039384,Tyrone Tracy Jr.,RB,NYG,15,176,740,2,39,36,288,2
00-0039391,Kimani Vidal,RB,LAC,13,155,643,3,32,16,136,1
00-0039398,Joe Milton III,QB,DAL,4,5,50,0,1,0,0,0
00-0039405,Jawhar Jordan,RB,HOU,4,43,193,0,8,7,34,0
00-0039407,Dylan Laube,RB,LV,17,7,9,0,0,3,18,0
00-0039410,Ryan Flournoy,WR,DAL,15,4,25,0,2,40,475,4
00-0039451,Isaiah Williams,WR,NYJ,15,3,34,0,1,26,193,0
00-0039589,Kameron Johnson,WR,TB,17,2,13,0,1,4,64,1
00-0039603,British Brooks,RB,HOU,8,17,78,0,5,0,0,0
00-0039623,Mason Tipton,WR,NO,8,4,18,0,2,11,76,0
00-0039732,Bo Nix,QB,DEN,17,83,356,5,25,0,0,0
00-0039738,Blake Corum,RB,LA,17,145,746,6,44,8,36,0
00-0039746,Will Shipley,RB,PHI,14,14,49,0,4,9,56,0
00-0039751,Jordan Whittington,WR,LA,15,3,12,0,0,18,171,0
00-0039757,Terrell Jennings,RB,NE,6,23,73,1,8,1,9,0
00-0039793,AJ Barner,TE,SEA,17,10,14,1,9,52,519,6
00-0039794,Braelon Allen,RB,NYJ,4,18,76,1,4,2,17,0
00-0039796,Rasheen Ali,RB,BAL,15,7,24,0,1,9,68,1
