year,team,line_change,bucket,win_total_line,actual_wins,beat_margin,result
2019,JAX,-1.0,mod_drop (-2.5..-0.5),8.0,6,-2.0,Under
2019,KC,2.0,mod_rise (+0.5..+2.5),10.5,12,1.5,Over
2019,LAC,0.5,mod_rise (+0.5..+2.5),10.0,5,-5.0,Under
2019,LAR,0.5,mod_rise (+0.5..+2.5),10.5,9,-1.5,Under
2019,MIA,-2.0,mod_drop (-2.5..-0.5),4.5,5,0.5,Over
2019,MIN,-1.0,mod_drop (-2.5..-0.5),9.0,10,1.0,Over
2019,NE,0.5,mod_rise (+0.5..+2.5),11.5,12,0.5,Over
2019,NO,1.0,mod_rise (+0.5..+2.5),10.5,13,2.5,Over
2019,NYG,-1.0,mod_drop (-2.5..-0.5),6.0,4,-2.0,Under
2019,NYJ,1.5,mod_rise (+0.5..+2.5),7.5,7,-0.5,Under
2019,LV,-1.5,mod_drop (-2.5..-0.5),6.0,7,1.0,Over
2019,PHI,-0.5,mod_drop (-2.5..-0.5),10.0,9,-1.0,Under
2019,PIT,-1.0,mod_drop (-2.5..-0.5),9.5,8,-1.5,Under
2019,SF,-0.5,mod_drop (-2.5..-0.5),8.0,13,5.0,Over
2019,SEA,1.5,mod_rise (+0.5..+2.5),9.0,11,2.0,Over
2019,TB,0.0,stable (-0.5..+0.5),6.5,7,0.5,Over
2019,TEN,0.0,stable (-0.5..+0.5),8.0,9,1.0,Over
2019,WAS,-1.0,mod_drop (-2.5..-0.5),6.0,3,-3.0,Under
2020,ARI,2.5,big_rise (>=+2.5),7.5,8,0.5,Over
2020,ATL,-1.0,mod_drop (-2.5..-0.5),7.5,4,-3.5,Under
2020,BAL,3.0,big_rise (>=+2.5),11.5,11,-0.5,Under
2020,BUF,2.0,mod_rise (+0.5..+2.5),9.0,13,4.0,Over
2020,CAR,-2.5,big_drop (<=-2.5),5.5,5,-0.5,Under
2020,CHI,-1.0,mod_drop (-2.5..-0.5),8.0,8,0.0,Push
2020,CIN,-0.5,mod_drop (-2.5..-0.5),5.5,4,-1.5,Under
2020,CLE,-0.5,mod_drop (-2.5..-0.5),8.5,11,2.5,Over
2020,DAL,1.0,mod_rise (+0.5..+2.5),10.0,6,-4.0,Under
2020,DEN,0.5,mod_rise (+0.5..+2.5),7.5,5,-2.5,Under
2020,DET,0.5,mod_rise (+0.5..+2.5),7.0,5,-2.0,Under
2020,GB,-0.5,mod_drop (-2.5..-0.5),8.5,13,4.5,Over
2020,HOU,-1.0,mod_drop (-2.5..-0.5),7.5,4,-3.5,Under
2020,IND,2.0,mod_rise (+0.5..+2.5),9.5,11,1.5,Over
2020,JAX,-3.5,big_drop (<=-2.5),4.5,1,-3.5,Under
2020,KC,1.0,mod_rise (+0.5..+2.5),11.5,14,2.5,Over
2020,LV,1.5,mod_rise (+0.5..+2.5),7.5,8,0.5,Over
2020,LAC,-2.0,mod_drop (-2.5..-0.5),8.0,7,-1.0,Under
2020,LAR,-2.0,mod_drop (-2.5..-0.5),8.5,10,1.5,Over
2020,MIA,1.5,mod_rise (+0.5..+2.5),6.0,10,4.0,Over
2020,MIN,0.0,stable (-0.5..+0.5),9.0,7,-2.0,Under
2020,NE,-2.5,big_drop (<=-2.5),9.0,7,-2.0,Under
2020,NO,0.0,stable (-0.5..+0.5),10.5,12,1.5,Over
2020,NYG,0.5,mod_rise (+0.5..+2.5),6.5,6,-0.5,Under
2020,NYJ,-1.0,mod_drop (-2.5..-0.5),6.5,2,-4.5,Under
2020,PHI,-0.5,mod_drop (-2.5..-0.5),9.5,4,-5.5,Under
2020,PIT,0.0,stable (-0.5..+0.5),9.5,12,2.5,Over
2020,SF,2.5,big_rise (>=+2.5),10.5,6,-4.5,Under
2020,SEA,0.5,mod_rise (+0.5..+2.5),9.5,12,2.5,Over
2020,TB,3.0,big_rise (>=+2.5),9.5,11,1.5,Over
2020,TEN,0.5,mod_rise (+0.5..+2.5),8.5,11,2.5,Over
2020,WAS,-1.0,mod_drop (-2.5..-0.5),5.0,7,2.0,Over
2021,ARI,1.0,mod_rise (+0.5..+2.5),8.5,11,2.5,Over
2021,ATL,0.0,stable (-0.5..+0.5),7.5,7,-0.5,Under
2021,BAL,-1.0,mod_drop (-2.5..-0.5),10.5,8,-2.5,Under
2021,BUF,2.5,big_rise (>=+2.5),11.5,11,-0.5,Under
2021,CAR,2.0,mod_rise (+0.5..+2.5),7.5,5,-2.5,Under
2021,CHI,-0.5,mod_drop (-2.5..-0.5),7.5,6,-1.5,Under
2021,CIN,1.0,mod_rise (+0.5..+2.5),6.5,10,3.5,Over
2021,CLE,2.0,mod_rise (+0.5..+2.5),10.5,8,-2.5,Under
2021,DAL,-1.0,mod_drop (-2.5..-0.5),9.0,12,3.0,Over
2021,DEN,1.5,mod_rise (+0.5..+2.5),9.0,7,-2.0,Under
2021,DET,-2.5,big_drop (<=-2.5),4.5,3,-1.5,Under
2021,GB,2.0,mod_rise (+0.5..+2.5),10.5,13,2.5,Over
2021,HOU,-3.5,big_drop (<=-2.5),4.0,4,0.0,Push
2021,IND,-0.5,mod_drop (-2.5..-0.5),9.0,9,0.0,Push
2021,JAX,2.0,mod_rise (+0.5..+2.5),6.5,3,-3.5,Under
2021,KC,1.0,mod_rise (+0.5..+2.5),12.5,12,-0.5,Under
2021,LV,0.0,stable (-0.5..+0.5),7.5,10,2.5,Over
