year,team,win_total_line,actual_wins,result,beat_margin,top25_count,top50_count,top100_count,linear_weight,reciprocal_weight,best_rank
2018,TEN,8.0,9,Over,1.0,0,1,5,167,8.03,39
2018,WAS,7.0,7,Push,0.0,0,0,2,38,2.56,64
2019,ARI,5.0,5,Push,0.0,1,1,3,147,17.21,7
2019,ATL,8.5,7,Under,-1.5,1,3,4,256,17.54,10
2019,BAL,8.5,14,Over,5.5,0,0,2,85,3.43,56
2019,BUF,7.0,10,Over,3.0,0,0,1,18,1.2,83
2019,CAR,8.0,5,Under,-3.0,1,2,3,180,28.72,4
2019,CHI,9.0,8,Under,-1.0,0,1,4,108,5.74,48
2019,CIN,6.0,2,Under,-4.0,1,1,3,137,7.53,21
2019,CLE,9.0,6,Under,-3.0,3,3,4,270,19.59,13
2019,DAL,9.0,8,Under,-1.0,1,2,3,189,23.87,5
2019,DEN,7.0,7,Push,0.0,0,0,1,39,1.61,62
2019,DET,6.5,3,Under,-3.5,0,1,3,119,5.97,31
2019,GB,9.0,13,Over,4.0,2,3,3,241,20.17,8
2019,HOU,8.5,10,Over,1.5,2,2,4,198,25.97,6
2019,IND,7.5,7,Under,-0.5,0,3,3,181,7.53,33
2019,JAX,8.0,6,Under,-2.0,0,1,2,75,4.7,27
2019,KC,10.5,12,Over,1.5,3,4,4,338,48.06,3
2019,LAC,10.0,5,Under,-5.0,0,2,6,230,11.37,30
2019,LAR,10.5,9,Under,-1.5,1,2,5,265,12.85,18
2019,MIA,4.5,5,Over,0.5,0,0,1,11,1.11,90
2019,MIN,9.0,10,Over,1.0,1,3,4,239,12.46,19
2019,NE,11.5,12,Over,0.5,0,1,4,160,6.73,47
2019,NO,10.5,13,Over,2.5,2,3,5,264,62.76,2
2019,NYG,6.0,4,Under,-2.0,1,1,2,130,101.41,1
2019,NYJ,7.5,7,Under,-0.5,1,1,3,108,13.27,9
2019,LV,6.0,7,Over,1.0,1,2,3,143,7.82,24
2019,PHI,10.0,9,Under,-1.0,0,2,4,165,7.87,34
2019,PIT,9.5,8,Under,-1.5,2,2,4,223,18.09,11
2019,SF,8.0,13,Over,5.0,0,1,3,111,5.41,35
2019,SEA,9.0,11,Over,2.0,0,2,3,150,6.14,39
2019,TB,6.5,7,Over,0.5,1,1,4,206,9.52,23
2019,TEN,8.0,9,Over,1.0,0,0,1,49,1.92,52
2019,WAS,6.0,3,Under,-3.0,0,0,1,15,1.16,86
2020,ARI,7.5,8,Over,0.5,2,3,3,238,15.01,14
2020,ATL,7.5,4,Under,-3.5,1,4,4,256,12.61,18
2020,BAL,11.5,11,Under,-0.5,1,1,5,207,30.61,4
2020,BUF,9.0,13,Over,4.0,0,1,3,151,6.31,35
2020,CAR,5.5,5,Under,-0.5,1,2,2,152,102.04,1
2020,CHI,8.0,8,Push,0.0,0,1,2,96,3.91,43
2020,CIN,5.5,4,Under,-1.5,1,1,3,126,8.75,16
2020,CLE,8.5,11,Over,2.5,1,2,5,236,13.52,15
2020,DAL,10.0,6,Under,-4.0,2,3,4,265,31.82,5
2020,DEN,7.5,5,Under,-2.5,0,1,4,121,6.5,39
2020,DET,7.0,5,Under,-2.0,0,1,3,143,6.45,31
2020,GB,8.5,13,Over,4.5,2,3,3,236,15.36,13
2020,HOU,7.5,4,Under,-3.5,1,2,4,158,9.44,20
2020,IND,9.5,11,Over,1.5,0,0,4,113,5.59,60
2020,JAX,4.5,1,Under,-3.5,0,0,2,40,2.55,67
2020,KC,11.5,14,Over,2.5,4,4,4,339,64.64,2
2020,LV,7.5,8,Over,0.5,1,1,2,122,11.43,10
2020,LAC,8.0,7,Under,-1.0,1,1,3,120,7.81,19
2020,LAR,8.5,10,Over,1.5,0,1,3,142,5.81,42
2020,MIA,6.0,10,Over,4.0,0,0,2,12,2.11,92
2020,MIN,9.0,7,Under,-2.0,1,2,3,181,16.69,8
2020,NE,9.0,7,Under,-2.0,0,0,1,4,1.03,97
2020,NO,10.5,12,Over,1.5,2,3,3,261,34.4,6
2020,NYG,6.5,6,Under,-0.5,1,1,3,162,36.34,3
2020,NYJ,6.5,2,Under,-4.5,0,1,1,61,2.5,40
2020,PHI,9.5,4,Under,-5.5,1,2,3,178,8.43,23
2020,PIT,9.5,12,Over,2.5,0,1,3,91,4.55,48
2020,SF,10.5,6,Under,-4.5,0,1,4,120,7.16,28
2020,SEA,9.5,12,Over,2.5,1,2,4,248,15.7,11
2020,TB,9.5,11,Over,1.5,0,4,6,296,14.37,26
2020,TEN,8.5,11,Over,2.5,1,1,3,146,13.93,9
2020,WAS,5.0,7,Over,2.0,0,0,1,29,1.39,72
2021,ARI,8.5,11,Over,2.5,2,2,3,188,19.49,7
2021,ATL,7.5,7,Under,-0.5,0,3,4,219,9.47,27
2021,BAL,10.5,8,Under,-2.5,1,1,3,161,13.06,10
2021,BUF,11.5,11,Under,-0.5,2,2,2,175,24.55,5
2021,CAR,7.5,5,Under,-2.5,1,1,2,123,101.28,1
2021,CHI,7.5,6,Under,-1.5,0,2,3,147,6.3,36
2021,CIN,6.5,10,Over,3.5,0,2,4,149,7.7,31
2021,CLE,10.5,8,Under,-2.5,1,1,4,175,11.97,13
2021,DAL,9.0,12,Over,3.0,2,3,4,283,22.64,8
2021,DEN,9.0,7,Under,-2.0,0,0,4,72,4.89,67
2021,DET,4.5,3,Under,-1.5,0,1,2,90,3.65,48
2021,GB,10.5,13,Over,2.5,3,3,5,278,28.67,9
2021,HOU,4.0,4,Push,0.0,0,0,1,3,1.02,98
2021,IND,9.0,9,Push,0.0,1,1,1,82,5.26,19
2021,JAX,6.5,3,Under,-3.5,0,1,2,106,4.21,43
2021,KC,12.5,12,Under,-0.5,3,4,4,346,69.09,2
2021,LV,7.5,10,Over,2.5,0,2,3,138,6.81,29
2021,LAC,9.5,9,Under,-0.5,2,3,3,225,13.16,16
2021,LAR,10.5,12,Over,1.5,0,1,4,203,8.48,32
2021,MIA,9.0,9,Push,0.0,0,0,2,79,3.3,54
2021,MIN,9.0,8,Under,-1.0,1,2,4,230,39.27,3
2021,NE,9.5,10,Over,0.5,0,0,1,33,1.47,68
2021,NO,9.0,9,Push,0.0,1,1,3,132,27.4,4
2021,NYG,7.0,4,Under,-3.0,1,1,2,82,6.0,20
2021,NYJ,6.0,4,Under,-2.0,0,0,1,7,1.06,94
2021,PHI,6.5,9,Over,2.5,0,1,3,117,5.6,38
2021,PIT,8.5,9,Over,0.5,1,1,4,157,8.82,21
2021,SF,10.5,10,Under,-0.5,0,1,5,157,7.87,37
2021,SEA,9.5,7,Under,-2.5,1,3,4,252,13.14,18
2021,TB,12.0,13,Over,1.0,0,2,5,189,9.82,26
2021,TEN,9.5,12,Over,2.5,1,3,4,270,24.16,6
2021,WAS,8.5,7,Under,-1.5,1,2,4,182,9.11,24
2022,ARI,8.5,4,Under,-4.5,1,2,4,162,11.17,15
2022,ATL,4.5,7,Over,2.5,0,1,1,55,2.17,46
2022,BAL,10.5,10,Under,-0.5,1,2,3,201,14.52,10
2022,BUF,12.0,13,Over,1.0,2,2,4,201,106.6,1
2022,CAR,6.5,7,Over,0.5,1,1,2,126,21.41,5
2022,CHI,5.5,3,Under,-2.5,0,0,3,98,4.6,51
2022,CIN,9.5,12,Over,2.5,3,4,4,306,20.62,14
2022,CLE,8.0,7,Under,-1.0,0,1,3,84,5.79,27
2022,DAL,10.0,12,Over,2.0,0,3,5,245,11.7,28
2022,DEN,10.0,5,Under,-5.0,1,2,4,209,10.96,19
2022,DET,6.5,9,Over,2.5,1,1,3,107,7.28,20
2022,GB,11.0,8,Under,-3.0,1,2,3,178,8.46,25
2022,HOU,4.5,3,Under,-1.5,0,0,2,33,2.39,76
2022,IND,10.0,4,Under,-6.0,1,3,3,206,54.22,2
2022,JAX,6.5,9,Over,2.5,0,1,2,97,3.84,48
2022,KC,10.5,14,Over,3.5,2,2,4,206,23.26,6
2022,LV,8.5,6,Under,-2.5,1,2,5,221,11.51,21
2022,LAC,10.5,10,Under,-0.5,2,3,4,296,51.74,3
2022,LAR,10.5,5,Under,-5.5,1,2,4,237,15.78,11
2022,MIA,9.0,9,Push,0.0,0,1,4,157,7.14,38
2022,MIN,9.5,13,Over,3.5,2,3,4,263,22.52,9
2022,NE,8.5,8,Under,-0.5,0,0,3,20,3.19,90
2022,NO,9.0,7,Under,-2.0,1,1,3,147,7.54,22
2022,NYG,7.0,9,Over,2.0,0,1,2,86,4.5,30
2022,NYJ,5.5,7,Over,1.5,0,0,1,42,1.69,59
2022,PHI,10.0,14,Over,4.0,1,2,3,163,9.68,16
2022,PIT,7.5,9,Over,1.5,1,1,2,122,9.8,12
2022,SF,10.0,13,Over,3.0,0,2,4,220,9.52,32
2022,SEA,5.5,9,Over,3.5,0,0,2,60,2.85,63
2022,TB,11.0,8,Under,-3.0,1,4,5,327,35.57,4
2022,TEN,9.0,7,Under,-2.0,1,1,2,111,13.7,8
2022,WAS,7.5,8,Over,0.5,0,0,2,64,3.01,56
2023,ARI,4.5,4,Under,-0.5,0,0,3,77,4.09,64
2023,ATL,8.5,7,Under,-1.5,1,1,3,127,8.78,16
2023,BAL,10.0,13,Over,3.0,1,2,3,196,14.66,10
