year,player,team,pos,season_finish,per_game_finish
2023,Raheem Mostert,MIA,RB,6.0,
2023,Terry McLaurin,WAS,WR,88.0,
2023,Calvin Ridley,TEN,WR,54.0,
2023,Kyler Murray,ARI,QB,129.0,
2023,David Njoku,CLE,TE,82.0,
2023,Dak Prescott,DAL,QB,51.0,
2023,Jake Ferguson,DAL,TE,128.0,
2023,Curtis Samuel,BUF,WR,115.0,
2023,Courtland Sutton,DEN,WR,75.0,
2023,Rhamondre Stevenson,NE,RB,69.0,
2023,Kenneth Walker III,SEA,RB,36.0,
2023,Jaylen Warren,PIT,RB,97.0,
2023,Alvin Kamara,NO,RB,15.0,
2023,Zack Moss,CIN,RB,44.0,
2023,Jayden Reed,GB,WR,53.0,
2023,Christian Watson,GB,WR,84.0,
2023,Joshua Palmer,LAC,WR,104.0,
2023,Evan Engram,JAX,TE,105.0,
2023,Joe Burrow,CIN,QB,123.0,
2023,Jordan Love,GB,QB,103.0,
2023,Zamir White,LV,RB,159.0,
2023,Aaron Jones,MIN,RB,73.0,
2023,Rashid Shaheed,NO,WR,96.0,
2023,Jordan Addison,MIN,WR,59.0,
2023,Jameson Williams,DET,WR,193.0,
2023,D'Andre Swift,CHI,RB,63.0,
2023,Devin Singletary,NYG,RB,100.0,
2023,Javonte Williams,DEN,RB,119.0,
2023,Rico Dowdle,DAL,RB,174.0,
2023,Dallas Goedert,PHI,TE,120.0,
2023,Dontayvion Wicks,GB,WR,187.0,
2023,Brandin Cooks,DAL,WR,85.0,
2023,Jerry Jeudy,CLE,WR,215.0,
2023,Tony Pollard,TEN,RB,66.0,
2023,Brian Robinson Jr.,WAS,RB,50.0,
2023,Chase Brown,CIN,RB,184.0,
2023,Tyjae Spears,TEN,RB,167.0,
2023,Zach Charbonnet,SEA,RB,201.0,
2023,Brock Purdy,SF,QB,92.0,
2023,Trevor Lawrence,JAX,QB,131.0,
2023,Mike Williams,NYJ,WR,31.0,
2023,Tyler Lockett,SEA,WR,94.0,
2023,Gabe Davis,JAX,WR,67.0,
2023,Romeo Doubs,GB,WR,107.0,
2023,Tua Tagovailoa,MIA,QB,136.0,
2023,Jerome Ford,CLE,RB,60.0,
2023,Gus Edwards,LAC,RB,52.0,
2023,Pat Freiermuth,PIT,TE,169.0,
2023,Matthew Stafford,LAR,QB,164.0,
2023,Josh Downs,IND,WR,146.0,
2023,Tyler Allgeier,ATL,RB,121.0,
2023,Deshaun Watson,CLE,QB,171.0,
2023,Jared Goff,DET,QB,126.0,
2023,Justin Herbert,LAC,QB,76.0,
2023,Geno Smith,SEA,QB,144.0,
2023,Jakobi Meyers,LV,WR,65.0,
2023,Ezekiel Elliott,DAL,RB,116.0,
2023,Austin Ekeler,WAS,RB,45.0,
2023,Luke Musgrave,GB,TE,238.0,
2023,Hunter Henry,NE,TE,114.0,
2023,Darnell Mooney,ATL,WR,226.0,
2023,Khalil Shakir,BUF,WR,178.0,
2023,Chuba Hubbard,CAR,RB,109.0,
2023,Nick Chubb,CLE,RB,87.0,
2023,Ty Chandler,MIN,RB,152.0,
2023,Jahan Dotson,WAS,WR,147.0,
2023,Tyler Conklin,NYJ,TE,263.0,
2023,Noah Fant,SEA,TE,324.0,
2023,Rashod Bateman,BAL,WR,300.0,
2023,Demarcus Robinson,LAR,WR,135.0,
2023,Adam Thielen,CAR,WR,55.0,
2023,Daniel Jones,NYG,QB,124.0,
2023,Kirk Cousins,ATL,QB,93.0,
2023,Jaleel McLaughlin,DEN,RB,161.0,
2023,Dalton Schultz,HOU,TE,108.0,
2023,Cole Kmet,CHI,TE,95.0,
2023,Juwan Johnson,NO,TE,132.0,
2023,T.J. Hockenson,MIN,TE,70.0,
2023,Marvin Mims Jr.,DEN,WR,160.0,
2023,Michael Wilson,ARI,WR,133.0,
2023,Elijah Mitchell,SF,RB,216.0,
2023,Khalil Herbert,CHI,RB,89.0,
2023,Antonio Gibson,NE,RB,195.0,
2023,Andrei Iosivas,CIN,WR,334.0,
2023,Baker Mayfield,TB,QB,151.0,
2023,Will Levis,TEN,QB,185.0,
2023,Colby Parkinson,LAR,TE,288.0,
2023,Jonnu Smith,MIA,TE,162.0,
2023,Demario Douglas,NE,WR,227.0,
2023,Wan'Dale Robinson,NYG,WR,148.0,
2023,Bryce Young,CAR,QB,259.0,
2023,Dameon Pierce,HOU,RB,180.0,
2023,Clyde Edwards-Helaire,KC,RB,172.0,
2023,Darius Slayton,NYG,WR,137.0,
2023,Odell Beckham Jr.,MIA,WR,145.0,
2023,Jalen Tolbert,DAL,WR,271.0,
2023,Tank Bigsby,JAX,RB,350.0,
2023,Trey Sermon,IND,RB,316.0,
2023,Derek Carr,NO,QB,219.0,
2023,Russell Wilson,PIT,QB,163.0,
2023,Justin Fields,PIT,QB,71.0,
2023,Will Dissly,LAC,TE,334.0,
2023,Cade Otton,TB,TE,188.0,
2023,Deneric Prince,KC,RB,334.0,
2023,Alexander Mattison,LV,RB,138.0,
2023,Jelani Woods,IND,TE,334.0,
2023,Greg Dulcich,DEN,TE,334.0,
2023,Dawson Knox,BUF,TE,317.0,
2023,Chig Okonkwo,TEN,TE,239.0,
2023,Jordan Mason,SF,RB,248.0,
2023,Greg Dortch,ARI,WR,194.0,
2023,Jalin Hyatt,NYG,WR,232.0,
2023,Cedric Tillman,CLE,WR,350.0,
2023,Treylon Burks,TEN,WR,303.0,
2023,Quentin Johnston,LAC,WR,240.0,
2023,Josh Reynolds,DEN,WR,139.0,
2023,Kalif Raymond,DET,WR,222.0,
2023,Roschon Johnson,CHI,RB,173.0,
2023,Jamaal Williams,NO,RB,310.0,
2023,Kendre Miller,NO,RB,246.0,
2023,Justice Hill,BAL,RB,158.0,
2023,AJ Dillon,GB,RB,190.0,
2023,Isaiah Likely,BAL,TE,143.0,
2023,Mike Gesicki,CIN,TE,322.0,
2023,Michael Mayer,LV,TE,221.0,
2023,Tommy Tremble,CAR,TE,333.0,
2023,Aidan O'Connell,LV,QB,183.0,
2023,Tre Tucker,LV,WR,198.0,
2023,Antoine Green,DET,WR,334.0,
2023,DJ Chark Jr.,LAC,WR,127.0,
2023,A.T. Perry,NO,WR,224.0,
2023,Van Jefferson,PIT,WR,334.0,
2023,Noah Brown,HOU,WR,72.0,
2023,K.J. Osborn,NE,WR,154.0,
2023,Tyler Boyd,TEN,WR,168.0,
2023,Kadarius Toney,KC,WR,334.0,
2023,Jalen Nailor,MIN,WR,334.0,
2023,Alec Pierce,IND,WR,189.0,
2023,Jacoby Brissett,NE,QB,334.0,
2023,Gardner Minshew II,LV,QB,199.0,
