year,team,head_coach,new_coach
2021,TEN,Mike Vrabel,0
2021,WAS,Ron Rivera,0
2022,ARI,Kliff Kingsbury,0
2022,ATL,Arthur Smith,0
2022,BAL,John Harbaugh,0
2022,BUF,Sean McDermott,0
2022,CAR,Matt Rhule,0
2022,CHI,Matt Eberflus,1
2022,CIN,Zac Taylor,0
2022,CLE,Kevin Stefanski,0
2022,DAL,Mike McCarthy,0
2022,DEN,Nathaniel Hackett,1
2022,DET,Dan Campbell,0
2022,GB,Matt LaFleur,0
2022,HOU,Lovie Smith,1
2022,IND,Frank Reich,0
2022,JAX,Doug Pederson,1
2022,KC,Andy Reid,0
2022,LAC,Brandon Staley,0
2022,LAR,Sean McVay,0
2022,LV,Josh McDaniels,1
2022,MIA,Mike McDaniel,1
2022,MIN,Kevin O'Connell,1
2022,NE,Bill Belichick,0
2022,NO,Dennis Allen,1
2022,NYG,Brian Daboll,1
2022,NYJ,Robert Saleh,0
2022,PHI,Nick Sirianni,0
2022,PIT,Mike Tomlin,0
2022,SEA,Pete Carroll,0
2022,SF,Kyle Shanahan,0
2022,TB,Todd Bowles,1
2022,TEN,Mike Vrabel,0
2022,WAS,Ron Rivera,0
2023,ARI,Jonathan Gannon,1
2023,ATL,Arthur Smith,0
2023,BAL,John Harbaugh,0
2023,BUF,Sean McDermott,0
2023,CAR,Frank Reich,1
2023,CHI,Matt Eberflus,0
2023,CIN,Zac Taylor,0
2023,CLE,Kevin Stefanski,0
2023,DAL,Mike McCarthy,0
2023,DEN,Sean Payton,1
2023,DET,Dan Campbell,0
2023,GB,Matt LaFleur,0
2023,HOU,DeMeco Ryans,1
2023,IND,Shane Steichen,1
2023,JAX,Doug Pederson,0
2023,KC,Andy Reid,0
2023,LAC,Brandon Staley,0
2023,LAR,Sean McVay,0
2023,LV,Josh McDaniels,0
2023,MIA,Mike McDaniel,0
2023,MIN,Kevin O'Connell,0
2023,NE,Bill Belichick,0
2023,NO,Dennis Allen,0
2023,NYG,Brian Daboll,0
2023,NYJ,Robert Saleh,0
2023,PHI,Nick Sirianni,0
2023,PIT,Mike Tomlin,0
2023,SEA,Pete Carroll,0
2023,SF,Kyle Shanahan,0
2023,TB,Todd Bowles,0
2023,TEN,Mike Vrabel,0
2023,WAS,Ron Rivera,0
2024,ARI,Jonathan Gannon,0
2024,ATL,Raheem Morris,1
2024,BAL,John Harbaugh,0
2024,BUF,Sean McDermott,0
2024,CAR,Dave Canales,1
2024,CHI,Matt Eberflus,0
2024,CIN,Zac Taylor,0
2024,CLE,Kevin Stefanski,0
2024,DAL,Mike McCarthy,0
2024,DEN,Sean Payton,0
2024,DET,Dan Campbell,0
2024,GB,Matt LaFleur,0
2024,HOU,DeMeco Ryans,0
2024,IND,Shane Steichen,0
2024,JAX,Doug Pederson,0
2024,KC,Andy Reid,0
2024,LAC,Jim Harbaugh,1
2024,LAR,Sean McVay,0
2024,LV,Antonio Pierce,1
2024,MIA,Mike McDaniel,0
2024,MIN,Kevin O'Connell,0
2024,NE,Jerod Mayo,1
2024,NO,Dennis Allen,0
2024,NYG,Brian Daboll,0
2024,NYJ,Robert Saleh,0
2024,PHI,Nick Sirianni,0
2024,PIT,Mike Tomlin,0
2024,SEA,Mike Macdonald,1
2024,SF,Kyle Shanahan,0
2024,TB,Todd Bowles,0
2024,TEN,Brian Callahan,1
2024,WAS,Dan Quinn,1
2025,ARI,Jonathan Gannon,0
2025,ATL,Raheem Morris,0
2025,BAL,John Harbaugh,0
2025,BUF,Sean McDermott,0
2025,CAR,Dave Canales,0
2025,CHI,Ben Johnson,1
2025,CIN,Zac Taylor,0
2025,CLE,Kevin Stefanski,0
2025,DAL,Brian Schottenheimer,1
2025,DEN,Sean Payton,0
2025,DET,Dan Campbell,0
2025,GB,Matt LaFleur,0
2025,HOU,DeMeco Ryans,0
2025,IND,Shane Steichen,0
2025,JAX,Liam Coen,1
2025,KC,Andy Reid,0
2025,LAC,Jim Harbaugh,0
2025,LAR,Sean McVay,0
2025,LV,Pete Carroll,1
2025,MIA,Mike McDaniel,0
2025,MIN,Kevin O'Connell,0
2025,NE,Mike Vrabel,1
2025,NO,Kellen Moore,1
2025,NYG,Brian Daboll,0
2025,NYJ,Aaron Glenn,1
2025,PHI,Nick Sirianni,0
2025,PIT,Mike Tomlin,0
2025,SEA,Mike Macdonald,0
2025,SF,Kyle Shanahan,0
2025,TB,Todd Bowles,0
2025,TEN,Brian Callahan,0
2025,WAS,Dan Quinn,0
