year,player_id,player,team,team_start,traded,position,games,carries,rushing_yards,rushing_tds,rushing_first_downs,receptions,receiving_yards,receiving_tds,rush_rec_yards,rush_rec_tds
2024,00-0039075,Puka Nacua,LAR,LAR,,WR,11,11,46,1,2,79,990,3,1036,4
2024,00-0035021,Ashton Dulin,IND,IND,,WR,13,5,45,0,2,2,67,1,112,1
2024,00-0039916,Ricky Pearsall,SF,SF,,WR,11,3,45,0,1,31,400,3,445,3
2024,00-0036096,J.J. Taylor,HOU,HOU,,RB,3,10,44,0,1,2,0,0,44,0
2024,00-0038563,Tre Tucker,LV,LV,,WR,17,9,44,1,3,47,539,3,583,4
2024,00-0038977,Tank Dell,HOU,HOU,,WR,14,9,43,0,3,51,667,3,710,3
2024,00-0039855,Jalen McMillan,TB,TB,,WR,13,4,43,0,3,37,461,8,504,8
2024,00-0038976,Marvin Mims Jr.,DEN,DEN,,WR,17,13,42,0,3,39,503,6,545,6
2024,00-0026498,Matthew Stafford,LAR,LAR,,QB,16,30,41,0,10,0,0,0,41,0
2024,00-0037012,Trey Lance,DAL,DAL,,QB,4,11,41,0,3,0,0,0,41,0
2024,00-0038573,Derius Davis,LAC,LAC,,WR,15,12,39,0,2,13,112,2,151,2
2024,00-0038738,Hunter Luepke,DAL,DAL,,RB,14,12,38,0,6,12,111,0,149,0
2024,00-0038122,Desmond Ridder,LV,LV,,QB,5,9,36,0,2,0,0,0,36,0
2024,00-0038359,Xavier Smith,LAR,LAR,,WR,14,4,36,0,1,2,6,0,42,0
2024,00-0027973,Andy Dalton,CAR,CAR,,QB,6,11,34,0,2,0,0,0,34,0
2024,00-0036527,DJ Turner,LV,LV,,WR,12,5,33,1,1,16,158,1,191,2
2024,00-0039757,Terrell Jennings,NE,NE,,RB,2,13,33,0,0,0,0,0,33,0
2024,00-0036900,Ja'Marr Chase,CIN,CIN,,WR,17,3,32,0,2,127,1708,17,1740,17
2024,00-0038476,Tommy DeVito,NYG,NYG,,QB,2,8,32,0,1,0,0,0,32,0
2024,00-0039393,Jase McClellan,ATL,ATL,,RB,2,13,32,0,2,0,0,0,32,0
2024,00-0035500,Greg Dortch,ARI,ARI,,WR,17,5,31,0,1,37,342,3,373,3
2024,00-0038396,Eric Gray,NYG,NYG,,RB,14,14,31,0,1,10,82,0,113,0
2024,00-0039796,Rasheen Ali,BAL,BAL,,RB,5,10,31,0,2,0,0,0,31,0
2024,00-0038454,Keaton Mitchell,BAL,BAL,,RB,4,15,30,0,2,1,28,0,58,0
2024,00-0038579,Aidan O'Connell,LV,LV,,QB,9,21,30,1,10,0,0,0,30,1
2024,00-0037545,Rashid Shaheed,NO,NO,,WR,6,6,29,0,2,20,349,3,378,3
2024,00-0026158,Joe Flacco,IND,IND,,QB,7,9,26,0,2,0,0,0,26,0
2024,00-0029892,Kyle Juszczyk,SF,SF,,FB,14,5,26,1,1,19,200,2,226,3
2024,00-0036626,Dyami Brown,WAS,WAS,,WR,15,3,26,0,1,30,308,1,334,1
2024,00-0038543,Jaxon Smith-Njigba,SEA,SEA,,WR,17,5,26,0,1,100,1130,6,1156,6
2024,00-0039920,Malachi Corley,NYJ,NYJ,,WR,5,2,26,0,1,3,16,0,42,0
2024,00-0039880,Malik Washington,MIA,MIA,,WR,14,5,25,1,1,26,223,0,248,1
2024,00-0033949,Joshua Dobbs,SF,SF,,QB,2,9,24,2,2,0,0,0,24,2
2024,00-0039342,Xavier Legette,CAR,CAR,,WR,15,6,24,0,2,49,497,4,521,4
2024,00-0039617,Jacob Kibodi,CLE,CLE,,RB,1,5,24,0,1,1,15,0,39,0
2024,00-0034960,Jakobi Meyers,LV,LV,,WR,15,2,23,0,1,87,1027,4,1050,4
2024,00-0035594,Travis Homer,CHI,CHI,,RB,8,6,23,0,2,3,11,0,34,0
2024,00-0038124,Christian Watson,GB,GB,,WR,14,4,23,0,1,29,620,2,643,2
2024,00-0035924,Jonathan Ward,PIT,PIT,,RB,4,5,22,0,1,0,0,0,22,0
2024,00-0036670,Jermar Jefferson,DET,DET,,RB,2,6,22,0,1,1,10,0,32,0
2024,00-0038998,Jake Haener,NO,NO,,QB,8,11,22,0,0,0,0,0,22,0
2024,00-0039344,Jonathon Brooks,CAR,CAR,,RB,3,9,22,0,0,3,23,0,45,0
2024,00-0036329,Ashtyn Davis,NYJ,NYJ,,SAF,10,1,21,0,1,0,0,0,21,0
2024,00-0031800,Taylor Heinicke,LAC,LAC,,QB,4,2,20,0,1,0,0,0,20,0
2024,00-0033893,Dalvin Cook,DAL,DAL,,RB,2,8,20,0,0,1,10,0,30,0
2024,00-0038994,Jordan Addison,MIN,MIN,,WR,15,3,20,1,1,63,875,9,895,10
2024,00-0033662,Cooper Rush,DAL,DAL,,QB,12,26,18,0,5,0,0,0,18,0
2024,00-0038117,Wan'Dale Robinson,NYG,NYG,,WR,17,3,18,0,1,93,699,3,717,3
2024,00-0035125,Alec Ingold,MIA,MIA,,FB,10,10,17,1,6,11,96,0,113,1
2024,00-0035535,Darius Slayton,NYG,NYG,,WR,16,2,17,0,1,39,573,2,590,2
2024,00-0037609,Aaron Shampklin,PIT,PIT,,RB,3,6,17,0,1,0,0,0,17,0
2024,00-0037809,Chig Okonkwo,TEN,TEN,,TE,16,1,17,0,1,52,479,2,496,2
2024,00-0038621,DeMario Douglas,NE,NE,,WR,16,3,16,0,0,66,621,3,637,3
2024,00-0039398,Joe Milton III,NE,NE,,QB,1,10,16,1,4,0,0,0,16,1
2024,00-0038102,Kenny Pickett,PHI,PHI,,QB,5,9,15,1,3,0,0,0,15,1
2024,00-0039811,MarShawn Lloyd,GB,GB,,RB,1,6,15,0,0,1,3,0,18,0
2024,00-0039919,Rome Odunze,CHI,CHI,,WR,17,3,15,0,1,54,734,3,749,3
2024,00-0033282,Curtis Samuel,BUF,BUF,,WR,14,5,14,0,0,31,253,1,267,1
2024,00-0039364,Sione Vaki,DET,DET,,RB,9,6,14,0,0,3,37,0,51,0
2024,00-0028118,Tyrod Taylor,NYJ,NYJ,,QB,2,3,13,0,0,0,0,0,13,0
2024,00-0037741,Jahan Dotson,PHI,PHI,,WR,14,1,13,0,1,19,216,0,229,0
2024,00-0039338,Brock Bowers,LV,LV,,TE,17,5,13,0,2,112,1194,5,1207,5
2024,00-0036613,Jaylen Waddle,MIA,MIA,,WR,15,4,12,0,1,58,744,2,756,2
2024,00-0038997,Josh Downs,IND,IND,,WR,14,1,12,0,0,72,803,5,815,5
2024,00-0039244,Chris Collier,LV,BAL,yes,RB,6,5,12,0,0,1,-4,0,8,0
2024,00-0039751,Jordan Whittington,LAR,LAR,,WR,14,2,12,0,2,22,293,0,305,0
2024,00-0036898,Davis Mills,HOU,HOU,,QB,4,3,11,0,1,0,0,0,11,0
2024,00-0037450,Tyreik McAllister,LV,LV,,WR,2,2,11,0,1,0,0,0,11,0
2024,00-0037745,Velus Jones Jr.,CAR,CHI,yes,WR,2,3,11,0,1,1,8,0,19,0
2024,00-0039589,Kameron Johnson,TB,TB,,WR,4,2,11,0,1,0,0,0,11,0
2024,00-0039611,Matthew Hayball,NO,NO,,P,17,1,11,0,1,0,0,0,11,0
2024,00-0039917,Michael Penix Jr.,ATL,ATL,,QB,5,7,11,1,1,0,0,0,11,1
2024,00-0032918,C.J. Ham,MIN,MIN,,FB,10,2,10,1,1,5,35,0,45,1
2024,00-0033908,Cooper Kupp,LAR,LAR,,WR,12,2,10,0,1,67,710,6,720,6
2024,00-0038123,Dane Belton,NYG,NYG,,SAF,13,1,10,0,1,0,0,0,10,0
2024,00-0039299,George Holani,SEA,SEA,,RB,3,3,10,0,1,1,-1,0,9,0
2024,00-0039573,Blake Watson,DEN,DEN,,RB,1,4,10,0,2,1,13,0,23,0
2024,00-0034177,Tim Boyle,NYG,MIA,yes,QB,3,3,9,0,1,0,0,0,9,0
2024,00-0037231,Kevin Austin Jr.,NO,NO,,WR,8,1,9,0,0,11,151,0,160,0
2024,00-0039901,Keon Coleman,BUF,BUF,,WR,13,1,9,0,0,29,556,4,565,4
2024,00-0031588,Stefon Diggs,HOU,HOU,,WR,8,3,8,1,1,47,496,3,504,4
2024,00-0031595,Michael Burton,DEN,DEN,,FB,12,7,8,1,3,10,65,1,73,2
2024,00-0035208,Olamide Zaccheaus,WAS,WAS,,WR,16,1,8,0,1,45,506,3,514,3
2024,00-0039868,Troy Franklin,DEN,DEN,,WR,16,2,8,0,0,28,263,2,271,2
2024,00-0036187,Reggie Gilliam,BUF,BUF,,RB,7,3,7,0,1,0,0,0,7,0
2024,00-0036849,Tutu Atwell,LAR,LAR,,WR,15,2,7,0,0,42,562,0,569,0
2024,00-0037239,Chris Olave,NO,NO,,WR,8,1,7,0,1,32,400,1,407,1
2024,00-0037487,Deven Thompkins,CAR,CAR,,WR,5,2,7,0,0,4,20,0,27,0
2024,00-0037827,Tyrion Davis-Price,PHI,PHI,,RB,1,3,7,0,0,0,0,0,7,0
2024,00-0038559,Michael Wilson,ARI,ARI,,WR,16,1,7,0,0,47,548,4,555,4
2024,00-0039365,Jacob Cowing,SF,SF,,WR,15,1,7,0,0,4,80,0,87,0
2024,00-0033307,Kendrick Bourne,NE,NE,,WR,12,1,6,0,1,28,305,1,311,1
2024,00-0035216,Diontae Johnson,HOU,CAR,yes,WR,11,2,6,0,1,33,375,3,381,3
2024,00-0036963,Amon-Ra St. Brown,DET,DET,,WR,17,2,6,0,1,115,1263,12,1269,12
2024,00-0038544,Quentin Johnston,LAC,LAC,,WR,15,3,6,0,0,55,711,8,717,8
2024,00-0038996,Tucker Kraft,GB,GB,,TE,17,3,6,0,3,50,707,7,713,7
2024,00-0039747,Ainias Smith,PHI,PHI,,WR,3,2,6,0,1,7,41,1,47,1
2024,00-0039890,Adonai Mitchell,IND,IND,,WR,17,4,6,0,1,23,312,0,318,0
2024,00-0031345,Jimmy Garoppolo,LAR,LAR,,QB,1,2,5,0,0,0,0,0,5,0
2024,00-0034753,Mark Andrews,BAL,BAL,,TE,17,4,5,0,3,55,673,11,678,11
2024,00-0035264,Jarrett Stidham,DEN,DEN,,QB,2,4,5,0,1,0,0,0,5,0
2024,00-0037253,Marcus Jones,NE,NE,,CB,14,1,5,0,0,1,18,0,23,0
