year,team,head_coach,new_coach,tenure,win_total_line,actual_wins,result,beat_margin,prior_actual_wins,prior_win_total_line,wins_change,line_change
2018,NO,Sean Payton,0,5,9.5,13,Over,3.5,11,8.0,2,1.5
2018,NYG,Pat Shurmur,1,1,7.0,5,Under,-2.0,3,9.0,2,-2.0
2018,NYJ,Todd Bowles,0,4,6.0,4,Under,-2.0,5,3.5,-1,2.5
2018,LV,Jon Gruden,1,1,7.5,4,Under,-3.5,6,9.5,-2,-2.0
2018,PHI,Doug Pederson,0,3,10.5,9,Under,-1.5,13,8.5,-4,2.0
2018,PIT,Mike Tomlin,0,5,10.5,9,Under,-1.5,13,10.5,-4,0.0
2018,SF,Kyle Shanahan,0,2,8.5,4,Under,-4.5,6,5.0,-2,3.5
2018,SEA,Pete Carroll,0,5,7.5,10,Over,2.5,9,10.5,1,-3.0
2018,TB,Dirk Koetter,0,3,6.5,5,Under,-1.5,5,8.5,0,-2.0
2018,TEN,Mike Vrabel,1,1,8.0,9,Over,1.0,9,9.0,0,-1.0
2018,WAS,Jay Gruden,0,5,7.0,7,Push,0.0,7,7.5,0,-0.5
2019,ARI,Kliff Kingsbury,1,1,5.0,5,Push,0.0,3,6.0,2,-1.0
2019,ATL,Dan Quinn,0,5,8.5,7,Under,-1.5,7,9.5,0,-1.0
2019,BAL,John Harbaugh,0,6,8.5,14,Over,5.5,10,8.5,4,0.0
2019,BUF,Sean McDermott,0,3,7.0,10,Over,3.0,6,5.5,4,1.5
2019,CAR,Ron Rivera,0,6,8.0,5,Under,-3.0,7,8.5,-2,-0.5
2019,CHI,Matt Nagy,0,2,9.0,8,Under,-1.0,12,7.5,-4,1.5
2019,CIN,Zac Taylor,1,1,6.0,2,Under,-4.0,6,7.0,-4,-1.0
2019,CLE,Freddie Kitchens,1,1,9.0,6,Under,-3.0,7,6.0,-1,3.0
2019,DAL,Jason Garrett,0,6,9.0,8,Under,-1.0,10,8.5,-2,0.5
2019,DEN,Vic Fangio,1,1,7.0,7,Push,0.0,6,7.0,1,0.0
2019,DET,Matt Patricia,0,2,6.5,3,Under,-3.5,6,7.5,-3,-1.0
2019,GB,Matt LaFleur,1,1,9.0,13,Over,4.0,6,10.0,7,-1.0
2019,HOU,Bill O'Brien,0,6,8.5,10,Over,1.5,11,8.5,-1,0.0
2019,IND,Frank Reich,0,2,7.5,7,Under,-0.5,10,7.5,-3,0.0
2019,JAX,Doug Marrone,0,3,8.0,6,Under,-2.0,5,9.0,1,-1.0
2019,KC,Andy Reid,0,6,10.5,12,Over,1.5,12,8.5,0,2.0
2019,LAC,Anthony Lynn,0,3,10.0,5,Under,-5.0,12,9.5,-7,0.5
2019,LAR,Sean McVay,0,3,10.5,9,Under,-1.5,13,10.0,-4,0.5
2019,MIA,Brian Flores,1,1,4.5,5,Over,0.5,7,6.5,-2,-2.0
2019,MIN,Mike Zimmer,0,6,9.0,10,Over,1.0,8,10.0,2,-1.0
2019,NE,Bill Belichick,0,6,11.5,12,Over,0.5,11,11.0,1,0.5
2019,NO,Sean Payton,0,6,10.5,13,Over,2.5,13,9.5,0,1.0
2019,NYG,Pat Shurmur,0,2,6.0,4,Under,-2.0,5,7.0,-1,-1.0
2019,NYJ,Adam Gase,1,1,7.5,7,Under,-0.5,4,6.0,3,1.5
2019,LV,Jon Gruden,0,2,6.0,7,Over,1.0,4,7.5,3,-1.5
2019,PHI,Doug Pederson,0,4,10.0,9,Under,-1.0,9,10.5,0,-0.5
2019,PIT,Mike Tomlin,0,6,9.5,8,Under,-1.5,9,10.5,-1,-1.0
2019,SF,Kyle Shanahan,0,3,8.0,13,Over,5.0,4,8.5,9,-0.5
2019,SEA,Pete Carroll,0,6,9.0,11,Over,2.0,10,7.5,1,1.5
2019,TB,Bruce Arians,1,1,6.5,7,Over,0.5,5,6.5,2,0.0
2019,TEN,Mike Vrabel,0,2,8.0,9,Over,1.0,9,8.0,0,0.0
2019,WAS,Jay Gruden,0,6,6.0,3,Under,-3.0,7,7.0,-4,-1.0
2020,ARI,Kliff Kingsbury,0,2,7.5,8,Over,0.5,5,5.0,3,2.5
2020,ATL,Dan Quinn,0,6,7.5,4,Under,-3.5,7,8.5,-3,-1.0
2020,BAL,John Harbaugh,0,7,11.5,11,Under,-0.5,14,8.5,-3,3.0
2020,BUF,Sean McDermott,0,4,9.0,13,Over,4.0,10,7.0,3,2.0
